session_uuid,scene_id,engaged_patient00_metadata,engaged_patient01_metadata,engaged_patient02_metadata,engaged_patient03_metadata,last_still_engagement,actual_engagement_distance,measure_of_right_ordering,unengaged_patient00_metadata,unengaged_patient01_metadata,unengaged_patient02_metadata,unengaged_patient03_metadata,engaged_patient04_metadata,unengaged_patient04_metadata,adherence_to_salt,scene_patient_count,participant_id,scene_patient_injuries_count,scene_correctly_treated_count,scene_percent_injury_correctly_treated,scene_pulse_taken_count,scene_stills_value,scene_teleport_count,scene_time_to_hemorrhage_control_per_patient,scene_triage_time,scene_action_count,scene_assessment_count,scene_treatment_count,scene_tag_application_count,encounter_layout,mean_percent_accurate_tagging,treated_expectant_count,AD_KDMA_Sim,AD_KDMA_Text,PropTrust,ST_KDMA_Sim,ST_KDMA_Text
23081f6e-875e-44f5-8bd0-edc3905f5c2c,2,,,,,-1522438.0,0.0,,Open World Civilian 1 Male Root|-99999|None|waver|None|nan,Open World Civilian 2 Female Root|-99999|None|still|None|nan,Open World Marine 1 Female Root|-99999|None|walker|None|nan,Open World Marine 2 Male Root|-99999|None|still|None|nan,,,False,4,2024201,0,0,,0,1,3,,43408,3,0,0,0,Desert,13.0,0.0,0.341666667,0.416666667,3.666666667,0.558333333,0.421211501
23081f6e-875e-44f5-8bd0-edc3905f5c2c,3,,,,,-1579149.0,0.0,,Open World Civilian 1 Male Root|-99999|None|waver|None|nan,Open World Civilian 2 Female Root|-99999|None|still|None|nan,Open World Marine 1 Female Root|-99999|None|walker|None|nan,Open World Marine 2 Male Root|-99999|None|still|None|nan,,,False,4,2024201,0,0,,0,1,1,,18810,1,0,0,0,Desert,13.0,0.0,0.341666667,0.416666667,3.666666667,0.558333333,0.421211501
287389c4-4c48-4483-87c0-6b363b57bde2,0,"Open World Marine 1 Male Root|545140|(1.9, 2.2)|still|None|high","Open World Marine 4 Male Root|586609|(0.8, 1.1)|still|None|high",,,568045.0,1.5556349186104046,,Open World Marine 2 Female Root|-99999|None|waver|None|medium,Open World Marine 3 Male Root|-99999|None|waver|None|high,,,,,False,4,2024220,12,1,8.333333333333334,1,1,27,0.0,581884,965,7,5,0,Jungle,12.5,1.0,0.466666667,0.516666667,3.333333333,0.561538462,0.380939786
2e8f6555-a7fa-4b54-8132-c030d697b4ad,0,"Open World Marine 4 Male Root|609264|(0.0, 0.0)|still|None|high",,,,588489.0,0.0,,Open World Marine 1 Male Root|-99999|None|still|None|high,Open World Marine 2 Female Root|-99999|None|waver|None|medium,Open World Marine 3 Male Root|-99999|None|waver|None|high,,,,False,4,2024212,12,0,0.0,0,1,17,0.0,621571,728,3,0,0,Jungle,25.0,1.0,0.55,0.141666667,4.0,0.361538462,0.222552539
37a554ee-fc49-4730-819c-2d97727bb0b7,0,"Open World Civilian 2 Female Root|725617|(14.2, -25.7)|still|None|high","Open World Marine 2 Male Root|775248|(10.3, -23.0)|still|None|high","Open World Civilian 1 Male Root|895159|(8.7, -26.2)|waver|None|medium","Open World Marine 1 Female Root|948274|(0.0, 0.0)|walker|None|low",601569.0,35.92782733907214,1.0,,,,,,,True,4,2024218,14,7,50.0,14,1,68,22178.333333333332,855700,1071,23,9,3,Desert,42.5,1.0,0.316666667,0.466666667,4.0,0.581410256,0.334622155
385032e9-9801-4dcf-a841-b3703a0d9acd,0,"Marine 1 Male Root|977805|(0.0, 0.0)|still|None|high","Marine 4 Male Root|1022239|(10.0, 18.9)|waver|None|medium","Marine 3 Male Root|1166150|(11.3, 10.4)|waver|None|high","Marine 2 Male Root|1246366|(14.1, 9.6)|waver|None|medium",769844.0,37.424354845218254,1.0,,,,,"Civilian 1 Female Root|1344729|(12.4, 5.4)|waver|None|high",,True,5,2024209,18,8,44.44444444444444,11,1,131,36001.5,1261477,2635,17,14,5,Urban,55.0,0.0,0.316666667,0.366666667,3.666666667,0.533333333,0.461863825
3cf14e31-f416-4c78-8a69-91bf0c685448,0,"Open World Marine 4 Male Root|527532|(0.8, 1.1)|still|None|high","Open World Marine 2 Female Root|584355|(-0.1, -0.1)|waver|None|medium","Open World Marine 3 Male Root|654575|(0.5, -2.7)|waver|None|high",,518544.0,4.168332812825267,1.0,Open World Marine 1 Male Root|-99999|None|still|None|high,,,,,,True,4,2024215,13,6,46.15384615384615,12,1,33,25794.0,687951,1150,19,8,3,Jungle,62.5,1.0,0.466666667,0.466666667,2.333333333,0.546153846,0.278911726
45365e18-6e38-48e7-b4a2-6b448b209034,0,"Marine 1 Male Root|586668|(7.4, 21.4)|still|None|high","Marine 4 Male Root|642551|(10.1, 19.1)|waver|None|medium","Marine 3 Male Root|699746|(11.3, 10.4)|waver|None|high","Marine 2 Male Root|746656|(14.1, 9.6)|waver|None|medium",564398.0,19.979385323081367,1.0,,,,,"Civilian 1 Female Root|828435|(13.5, 4.9)|waver|None|high",,True,5,2024218,16,10,62.5,23,1,75,4727.25,888941,1421,35,14,5,Urban,42.5,1.0,0.316666667,0.466666667,4.0,0.581410256,0.334622155
499179ba-3138-4bae-918e-ffc7fb943760,0,"Marine 1 Male Root|1231996|(0.0, 0.0)|still|None|high","Marine 4 Male Root|1381696|(10.1, 18.9)|waver|None|medium","Marine 3 Male Root|1538308|(11.9, 9.6)|waver|None|high","Marine 2 Male Root|1614000|(14.1, 9.6)|waver|None|medium",1059307.0,37.633015376847524,1.0,,,,,"Civilian 1 Female Root|1710395|(12.4, 5.4)|waver|None|high",,True,5,2024206,20,13,65.0,25,1,117,24778.75,1570828,1893,34,20,5,Urban,65.0,1.0,0.475,0.466666667,2.333333333,0.643356643,0.387654284
4bc46c8c-66e7-463d-b3a1-2a8303af4fd1,0,,,,,-115332.0,0.0,,Open World Marine 1 Male Root|-99999|None|still|None|high,Open World Marine 2 Female Root|-99999|None|waver|None|medium,Open World Marine 3 Male Root|-99999|None|waver|None|high,Open World Marine 4 Male Root|-99999|None|still|None|high,,,False,4,2024203,13,0,0.0,0,1,35,0.0,601688,650,0,0,0,Jungle,25.0,0.0,0.466666667,0.516666667,4.0,0.587820513,0.331948761
4de6e23f-3c00-49d9-bbac-3a9febab4311,0,"Marine 1 Male Root|868194|(0.0, 0.0)|still|None|high","Marine 4 Male Root|902787|(10.1, 19.1)|waver|None|medium","Civilian 1 Female Root|1031052|(13.1, 4.6)|waver|None|high","Marine 2 Male Root|1101384|(14.1, 9.6)|waver|None|medium",762165.0,44.42417404453261,1.0,,,,,"Marine 3 Male Root|1131117|(11.3, 10.4)|waver|None|high",,True,5,2024222,15,5,33.333333333333336,11,1,59,32982.75,1084278,1066,17,12,5,Urban,42.5,0.0,0.533333333,0.366666667,4.0,0.529806799,0.529864379
50b15e40-9860-4574-8ab8-0bd960fe27de,0,"Navy Soldier 2 Male Root|432760|(-0.3, -6.6)|waver|None|high","Navy Soldier 1 Male Root|498393|(0.0, 0.0)|still|None|high","Navy Soldier 3 Male Root|511124|(-0.3, 3.4)|waver|None|medium","Navy Soldier 4 Female Root|552381|(-5.3, -0.1)|waver|None|high",482916.0,16.123302104705623,-0.25097567084286676,,,,,,,False,4,2024220,18,6,33.333333333333336,4,0,80,22927.0,564419,1741,8,11,4,Submarine,12.5,0.0,0.466666667,0.516666667,3.333333333,0.561538462,0.380939786
5a909dc4-0f86-430d-a400-e37139cba69f,0,"Navy Soldier 2 Male Root|1159132|(-0.1, -5.5)|waver|None|high","Navy Soldier 1 Male Root|1260868|(0.0, 0.0)|still|None|high",,,1210787.0,5.500909015790027,,Navy Soldier 3 Male Root|-99999|None|waver|None|medium,Navy Soldier 4 Female Root|-99999|None|waver|None|high,,,,,False,4,2024212,18,1,5.555555555555555,4,0,29,25260.5,1239679,2545,6,1,2,Submarine,25.0,1.0,0.55,0.141666667,4.0,0.361538462,0.222552539
5d8d73a3-1898-4f64-8676-73edd1b7daa0,0,"Open World Marine 4 Male Root|474328|(0.8, 1.1)|still|None|high","Open World Marine 2 Female Root|568876|(0.2, -0.8)|waver|None|medium","Open World Marine 3 Male Root|642814|(0.5, -2.7)|waver|None|high",,463823.0,3.916024290684262,1.0,Open World Marine 1 Male Root|-99999|None|still|None|high,,,,,,True,4,2024211,15,9,60.0,6,1,113,39117.0,753718,1329,24,13,2,Jungle,37.5,1.0,0.5,0.475,3.333333333,0.634265734,0.267488168
5d94f0d4-a1b1-4d18-8a62-591e196006a9,0,"Open World Marine 2 Female Root|30063|(0.0, 0.0)|waver|None|medium","Open World Marine 4 Male Root|565011|(0.4, 0.2)|still|None|high",,,534948.0,0.447213595499958,,Open World Marine 1 Male Root|-99999|None|still|None|high,Open World Marine 3 Male Root|-99999|None|waver|None|high,,,,,False,4,2024219,12,3,25.0,7,0,71,2216.0,580131,892,20,4,1,Jungle,12.5,1.0,0.5,0.516666667,4.333333333,0.538461538,0.319749969
6666ee6b-863b-49d1-8097-97e6aa4fb39d,0,,,,,-127393.0,0.0,,Civilian 1 Female Root|-99999|None|waver|None|high,Marine 1 Male Root|-99999|None|still|None|high,Marine 2 Male Root|-99999|None|waver|None|medium,Marine 3 Male Root|-99999|None|waver|None|high,,Marine 4 Male Root|-99999|None|waver|None|medium,False,5,2024221,15,0,0.0,0,1,32,0.0,568196,1378,0,0,0,Urban,12.5,0.0,0.241666667,0.416666667,3.666666667,0.532692308,0.431511236
67dc0230-511d-41ac-ae9b-850900ab9e6a,0,"Open World Marine 4 Male Root|408136|(0.4, 0.4)|still|None|high","Open World Marine 2 Female Root|467112|(2.0, -1.2)|waver|None|medium","Open World Marine 3 Male Root|516714|(0.6, -2.9)|waver|None|high","Open World Marine 1 Male Root|583914|(2.6, 2.3)|still|None|high",569718.0,10.036368565225125,-0.20917113403497156,,,,,,,False,4,2024208,15,7,46.666666666666664,20,0,82,11054.0,614012,929,24,10,4,Jungle,75.0,1.0,0.466666667,0.316666667,4.333333333,0.553846154,0.325920037
6a76af00-56ef-408f-a445-6f5168e090a8,0,"Open World Civilian 2 Female Root|947234|(14.2, -25.7)|still|None|high","Open World Marine 2 Male Root|999017|(9.0, -22.5)|still|None|high","Open World Civilian 1 Male Root|1085762|(8.2, -26.8)|waver|None|medium",,862330.0,10.479520554715307,1.0,Open World Marine 1 Female Root|-99999|None|walker|None|low,,,,,,True,4,2024221,11,3,27.272727272727273,5,1,73,8587.0,958128,1186,8,5,1,Desert,12.5,1.0,0.241666667,0.416666667,3.666666667,0.532692308,0.431511236
6db9446c-2cd4-41b4-be8d-be5ccbbc6e05,0,,,,,-126865.0,0.0,,Open World Civilian 1 Male Root|-99999|None|waver|None|medium,Open World Civilian 2 Female Root|-99999|None|still|None|high,Open World Marine 1 Female Root|-99999|None|walker|None|low,Open World Marine 2 Male Root|-99999|None|still|None|high,,,False,4,2024217,11,0,0.0,0,1,63,0.0,580215,1008,0,0,0,Desert,0.0,0.0,0.566666667,0.466666667,4.0,0.466666667,0.430107097
703b9d0b-7786-4a4b-8a26-7c57d16b785a,0,"Marine 1 Male Root|516892|(7.6, 21.1)|still|None|high","Marine 4 Male Root|567051|(10.1, 19.1)|still|None|medium","Marine 3 Male Root|633147|(11.3, 10.4)|still|None|high","Civilian 1 Female Root|683284|(13.5, 5.0)|still|None|high",646045.0,22.453848116441677,1.0,,,,,"Marine 2 Male Root|845458|(14.1, 9.6)|waver|None|medium",,True,5,2024226,20,15,75.0,11,1,134,14401.5,915244,2146,20,26,6,Urban,45.0,1.0,0.316666667,0.366666667,3.666666667,0.621794872,0.484169598
70eef02d-d2d0-458e-a8bb-f6511bf47a0c,0,"Open World Marine 4 Male Root|770553|(0.0, 0.0)|still|None|high","Open World Marine 3 Male Root|904151|(0.5, -2.7)|waver|None|high",,,748750.0,2.7459060435491964,,Open World Marine 1 Male Root|-99999|None|still|None|high,Open World Marine 2 Female Root|-99999|None|waver|None|medium,,,,,False,4,2024223,12,2,16.666666666666668,6,1,16,0.0,918148,2085,12,3,1,Jungle,37.5,1.0,0.516666667,0.475,,0.515384615,0.292872306
80f79d45-22fd-479d-b6e2-c62b5778e073,0,,,,,-271507.0,0.0,,Open World Marine 1 Male Root|-99999|None|still|None|high,Open World Marine 2 Female Root|-99999|None|waver|None|medium,Open World Marine 3 Male Root|-99999|None|waver|None|high,Open World Marine 4 Male Root|-99999|None|still|None|high,,,False,4,2024204,13,0,0.0,0,1,81,0.0,864869,963,1,0,0,Jungle,0.0,0.0,0.4,0.316666667,4.0,0.608333333,0.289871777
84c92e21-764b-435b-9e55-0f12f60383fc,0,"Navy Soldier 2 Male Root|671381|(-0.1, -5.5)|still|None|high","Navy Soldier 1 Male Root|719666|(-0.4, -0.3)|still|None|high",,,695524.0,5.208646657242167,,Navy Soldier 3 Male Root|-99999|None|still|None|medium,Navy Soldier 4 Female Root|-99999|None|still|None|high,,,,,False,4,2024227,18,3,16.666666666666668,1,1,46,0.0,717275,878,4,4,2,Submarine,25.0,1.0,0.466666667,0.316666667,4.0,0.469230769,0.310236722
8839e3b8-be5e-4878-8aaf-26c656ae2270,0,"Open World Marine 4 Male Root|626529|(0.0, 0.0)|still|None|high","Open World Marine 2 Female Root|726178|(2.5, -1.4)|waver|None|medium","Open World Marine 1 Male Root|808477|(1.6, 2.0)|still|None|high",,790995.0,6.382410835392675,-0.6500765978719565,Open World Marine 3 Male Root|-99999|None|waver|None|high,,,,,,False,4,2024207,13,3,23.076923076923077,23,0,26,40465.0,881995,1031,29,7,2,Jungle,37.5,0.0,0.416666667,0.316666667,4.0,0.492307692,0.321641352
8b6c4aed-0983-4a76-99fb-cec08dc26b92,0,"Navy Soldier 1 Male Root|1588561|(-0.4, -0.3)|still|None|high","Navy Soldier 3 Male Root|1652937|(-0.5, 3.3)|still|None|medium",,,1387938.0,3.601388621073821,,Navy Soldier 2 Male Root|-99999|None|still|None|high,Navy Soldier 4 Female Root|-99999|None|still|None|high,,,,,False,4,2024224,18,1,5.555555555555555,2,1,42,12355.0,1464981,5022,4,3,1,Submarine,12.5,1.0,0.466666667,0.316666667,4.333333333,0.623076923,0.310392505
922ad146-241a-4ea6-8ff1-413d7e0d16ec,0,"Open World Civilian 1 Male Root|711909|(8.2, -26.7)|waver|None|medium","Open World Marine 2 Male Root|736441|(10.4, -23.0)|still|None|high","Open World Civilian 2 Female Root|805702|(14.4, -25.3)|still|None|high","Open World Marine 1 Female Root|862629|(14.4, -28.0)|walker|None|low",659716.0,11.618757448029907,-0.17219495527891904,,,,,,,False,4,2024202,14,10,71.42857142857143,14,0,61,8492.666666666666,931582,2009,23,15,4,Desert,32.5,1.0,0.341666667,0.416666667,4.333333333,0.595512821,0.434774959
9f3bb117-3a4b-4bc7-9237-e2d9920d5333,0,"Open World Marine 4 Male Root|420757|(0.8, 1.1)|still|None|high","Open World Marine 1 Male Root|466284|(3.0, 2.7)|still|None|high",,,448334.0,2.720294101747089,,Open World Marine 2 Female Root|-99999|None|still|None|medium,Open World Marine 3 Male Root|-99999|None|still|None|high,,,,,False,4,2024227,12,1,8.333333333333334,4,1,33,0.0,460770,447,8,3,0,Jungle,25.0,1.0,0.466666667,0.316666667,4.0,0.469230769,0.310236722
a3a7727b-dd25-4e78-8d63-e66573f5077e,0,"Open World Marine 2 Female Root|734905|(0.5, -0.7)|still|None|medium","Open World Marine 1 Male Root|840873|(1.9, 2.2)|still|None|high",,,816677.0,3.2202484376209237,,Open World Marine 3 Male Root|-99999|None|still|None|high,Open World Marine 4 Male Root|-99999|None|still|None|high,,,,,False,4,2024224,13,2,15.384615384615385,4,1,39,0.0,889298,1822,7,3,1,Jungle,12.5,0.0,0.466666667,0.316666667,4.333333333,0.623076923,0.310392505
a7ce6f7b-6466-4281-9496-92b640d9d04b,0,"Navy Soldier 2 Male Root|517276|(-0.1, -5.5)|waver|None|high","Navy Soldier 3 Male Root|600866|(-0.6, 3.9)|waver|None|medium","Navy Soldier 1 Male Root|661042|(-0.3, -0.1)|still|None|high","Navy Soldier 4 Female Root|695443|(-4.2, -0.5)|waver|None|high",646894.0,17.344981860399816,0.4511359237460464,,,,,,,False,4,2024215,18,13,72.22222222222223,8,0,53,13273.0,734355,2745,16,16,5,Submarine,62.5,1.0,0.466666667,0.466666667,2.333333333,0.546153846,0.278911726
a9c21d35-e8be-47fd-926a-a00dcd3e792b,0,"Open World Marine 2 Male Root|581936|(10.3, -23.0)|still|None|high","Open World Civilian 1 Male Root|622235|(8.1, -26.4)|still|None|medium",,,595866.0,4.049691346263317,,Open World Civilian 2 Female Root|-99999|None|still|None|high,Open World Marine 1 Female Root|-99999|None|still|None|low,,,,,False,4,2024225,11,2,18.181818181818183,1,1,48,0.0,640208,692,4,3,2,Desert,32.5,0.0,0.416666667,0.366666667,4.333333333,0.543181818,0.480868855
acf74a81-a534-44c7-9cb1-67ec381b5ee0,0,"Navy Soldier 2 Male Root|961557|(-0.1, -5.5)|waver|None|high","Navy Soldier 1 Male Root|1002053|(-0.4, -0.3)|still|None|high","Navy Soldier 3 Male Root|1063723|(0.0, 3.7)|waver|None|medium","Navy Soldier 4 Female Root|1307217|(-5.4, 0.0)|waver|None|high",826996.0,15.77458804531178,0.9812208271039525,,,,,,,False,4,2024203,21,17,80.95238095238095,26,0,72,7021.5,1201115,3377,36,18,3,Submarine,25.0,1.0,0.466666667,0.516666667,4.0,0.587820513,0.331948761
aecfcd56-2262-40a8-9bb8-088f57d46f3f,0,"Open World Civilian 2 Female Root|832747|(0.0, 0.0)|still|None|high","Open World Marine 2 Male Root|932331|(10.3, -23.0)|still|None|high","Open World Civilian 1 Male Root|991918|(8.5, -26.2)|waver|None|medium","Open World Marine 1 Female Root|1036525|(0.0, 0.0)|walker|None|low",881088.0,56.41683190385545,1.0,,,,,,,True,4,2024206,14,7,50.0,11,1,42,24408.0,1019644,1468,18,11,4,Desert,65.0,1.0,0.475,0.466666667,2.333333333,0.643356643,0.387654284
b5989edc-8348-4b84-b649-87fc4f1cca53,0,"Open World Civilian 1 Male Root|584795|(8.1, -26.6)|waver|None|medium","Open World Marine 2 Male Root|658810|(10.3, -23.0)|still|None|high","Open World Civilian 2 Female Root|760294|(0.0, 0.0)|still|None|high","Open World Marine 1 Female Root|797091|(14.8, -27.8)|walker|None|low",711279.0,60.914123102438865,-0.4570705310624299,,,,,,,False,4,2024209,13,5,38.46153846153846,6,0,74,0.0,799018,3297,10,8,4,Desert,55.0,0.0,0.316666667,0.366666667,3.666666667,0.533333333,0.461863825
bccb0095-5efd-4c5c-ad58-8b8624f9ab56,0,"Open World Civilian 1 Male Root|497209|(8.2, -26.6)|waver|None|medium","Open World Marine 2 Male Root|534682|(10.3, -23.0)|still|None|high","Open World Marine 1 Female Root|588674|(14.2, -27.9)|walker|None|low","Open World Civilian 2 Female Root|623775|(0.0, 0.0)|still|None|high",579884.0,41.736070792092804,-0.4999999668966342,,,,,,,False,4,2024201,14,7,50.0,5,0,38,0.0,633930,1869,9,9,1,Desert,13.0,0.0,0.341666667,0.416666667,3.666666667,0.558333333,0.421211501
c6d3a90f-68c0-4948-bd96-537e80973605,0,"Navy Soldier 1 Male Root|583746|(-0.4, -0.3)|still|None|high","Navy Soldier 3 Male Root|644516|(-0.5, 3.3)|waver|None|medium","Navy Soldier 2 Male Root|691272|(-0.1, -5.5)|waver|None|high","Navy Soldier 4 Female Root|830456|(-4.4, 0.0)|waver|None|high",423092.0,19.391878709574744,1.0,,,,,,,True,4,2024216,18,14,77.77777777777777,17,1,74,10775.0,725606,1528,23,18,4,Submarine,12.5,1.0,0.366666667,0.625,0.0,0.553846154,0.320156335
c99de80f-15cc-45cb-aa64-5af0f2f118ca,0,"Open World Civilian 2 Female Root|673059|(14.1, -25.6)|still|None|high","Open World Civilian 1 Male Root|720181|(8.0, -26.4)|waver|None|medium","Open World Marine 2 Male Root|779890|(10.3, -23.0)|still|None|high","Open World Marine 1 Female Root|841056|(14.9, -27.8)|walker|None|low",756490.0,16.905418571901432,0.5942111438358935,,,,,,,False,4,2024222,12,5,41.666666666666664,7,0,55,7005.666666666667,833604,1124,12,7,3,Desert,42.5,1.0,0.533333333,0.366666667,4.0,0.529806799,0.529864379
c9a8dc60-f61d-44bb-bcb5-6e2466f3c9a0,0,"Navy Soldier 2 Male Root|708899|(0.4, -6.8)|waver|None|high","Navy Soldier 1 Male Root|857661|(-0.5, 0.2)|still|None|high","Navy Soldier 3 Male Root|957485|(-0.3, 3.4)|waver|None|medium",,839860.0,10.263863903813835,1.0,Navy Soldier 4 Female Root|-99999|None|waver|None|high,,,,,,True,4,2024223,18,11,61.111111111111114,6,1,42,44966.5,993239,2900,9,13,3,Submarine,37.5,1.0,0.516666667,0.475,,0.515384615,0.292872306
cbbf410f-4657-428e-9616-8a777cc4704d,0,,,,,-144624.0,0.0,,Navy Soldier 1 Male Root|-99999|None|still|None|high,Navy Soldier 2 Male Root|-99999|None|waver|None|high,Navy Soldier 3 Male Root|-99999|None|waver|None|medium,Navy Soldier 4 Female Root|-99999|None|waver|None|high,,,False,4,2024204,18,0,0.0,0,1,38,0.0,573722,1070,0,0,0,Submarine,0.0,0.0,0.4,0.316666667,4.0,0.608333333,0.289871777
