ID,Group,file_name,session_file_name,session_uuid,time_to_triage_scene,time_to_last_hemorrhage_controlled,time_to_hemorrhage_control_per_patient,mean_percentage_tag_correct,over_triage_error_rate,under_triage_error_rate,critical_triage_error_rate,encounter_layout
Responder 11,Medical Student,First responder master registry v2.0/22.03.15.1315r.csv,22.03.15.1315r.csv,16373b36-886a-4d0d-9015-474d29d139cc,569124,384463,78293.2,81.81818182,2e+01,0.0,0,First 11
Responder 12,Medical Student,First responder master registry v2.0/22.03.15.1316r.csv,22.03.15.1316r.csv,9f03c005-21d8-4934-8bb9-7152347726d1,654825,599744,92442.0,36.36363636,9,54.5,0,First 11
Responder 13,Medical Student,First responder master registry v2.0/22.03.15.1337.csv,22.03.15.1337.csv,9cd41444-4813-45a8-81d0-a1d068184c8e,460942,346792,9025.2,54.54545455,0,36.4,9,First 11
Responder 14,Medical Student,First responder master registry v2.0/22.03.15.1339.csv,22.03.15.1339.csv,e249e6d4-c3d4-4e20-8fab-fa35fd59e871,698129,501539,38843.0,72.72727273,2e+01,9.1,0,First 11
Responder 15,Medical Student,First responder master registry v2.0/22.03.15.1356.csv,22.03.15.1356.csv,9e0f8037-329b-496a-817a-daae83aa941f,537861,516390,68005.0,54.54545455,3e+01,0.0,0,First 11
Responder 16,Medical Student,First responder master registry v2.0/22.03.15.1427.csv,22.03.15.1427.csv,2d26ca7b-1dbb-42e4-9bbf-bf0d131e2e06,481427,436377,223687.0,27.27272727,0,28.6,3e+01,First 11
Responder 17,Medical Student,First responder master registry v2.0/22.03.15.1445.csv,22.03.15.1445.csv,d11543fd-7b7f-4883-bd69-afe8128a76f2,411487,294022,12415.4,63.63636364,2e+01,0.0,2e+01,First 11
Responder 18,Medical Student,First responder master registry v2.0/22.03.15.1446.csv,22.03.15.1446.csv,38b995b3-fb77-4fda-b0b4-21f062ed6a38,781506,678670,155848.2,27.27272727,2e+01,25.0,1e+01,First 11
Responder 19,Medical Student,First responder master registry v2.0/22.03.15.1505.csv,22.03.15.1505.csv,1046b7d9-5848-41b5-9438-cf0dc4dc6cbe,552086,301066,13828.6,54.54545455,3e+01,0.0,0,First 11
Responder 20,Medical Student,First responder master registry v2.0/22.03.15.1508.csv,22.03.15.1508.csv,27c2fa44-ba05-417c-ae95-317b06870dc9,824136,514962,78977.6,81.81818182,0,18.2,0,First 11
Responder 21,EM Resident,First responder master registry v2.0/22.03.16.0844r.csv,22.03.16.0844.csv,daca96a3-b61d-4087-9747-cea6fd7e3a43,657124,557983,14436.4,90.90909091,9,0.0,0,First 11
Responder 22,EM Resident,First responder master registry v2.0/22.03.16.0852.csv,22.03.16.0852.csv,321db911-0ed9-421a-9219-bb02038ac660,615663,574558,151695.0,63.63636364,3e+01,9.1,0,First 11
Responder 23,EM Resident,First responder master registry v2.0/22.03.16.0901r.csv,22.03.16.0901r.csv,ce41d7c3-9e24-4840-865f-3b7f7cd828f7,488626,321956,12405.0,72.72727273,3e+01,0.0,0,First 11
Responder 24,EM Resident,First responder master registry v2.0/22.03.16.0910.csv,22.03.16.0910.csv,a437d61b-adad-424f-9714-83382548fda2,527634,411249,20593.8,72.72727273,2e+01,9.1,0,First 11
Responder 25,EM Resident,First responder master registry v2.0/22.03.16.0917r.csv,22.03.16.0917r.csv,67ed9702-0908-454a-8069-7ca4a6f2bee9,323859,170527,6267.2,63.63636364,9,27.3,0,First 11
Responder 26,EM Resident,First responder master registry v2.0/22.03.16.0931r.csv,22.03.16.0931r.csv,d8c6bf18-14e3-45f2-bfa1-9a904cb4b82b,461207,377263,44746.2,81.81818182,9,9.1,0,First 11
Responder 27,EM Resident,First responder master registry v2.0/22.03.16.0944.csv,22.03.16.0944.csv,b26d61b8-9027-4b16-ba3b-bc337bc6e681,388061,262792,20844.0,100.00000000,0,0.0,0,First 11
Responder 28,EM Resident,First responder master registry v2.0/22.03.16.0955r.csv,22.03.16.0955r.csv,75b3227f-2f3c-4fe0-b9b8-9e0fe3baa210,685982,675510,101435.2,63.63636364,0,12.5,0,First 11
Responder 29,EM Resident,First responder master registry v2.0/22.03.16.1012.csv,22.03.16.1012.csv,33b51683-fa6a-4dd3-82e5-de08bcc17c14,413487,313956,59637.6,54.54545455,9,18.2,2e+01,First 11
Responder 30,EM Resident,First responder master registry v2.0/22.03.16.1019r.csv,22.03.16.1019r.csv,5c720560-85f5-4bb1-9aa5-41207f6259a2,503603,444171,26812.0,45.45454545,2e+01,0.0,1e+01,First 11
Responder 31,EM Resident,First responder master registry v2.0/22.03.16.1027.csv,22.03.16.1027.csv,26f08763-076e-4531-a6f7-f00232f664bd,291709,290956,65908.8,54.54545455,0,12.5,1e+01,First 11
Responder 32,EM Resident,First responder master registry v2.0/22.03.16.1039r.csv,22.03.16.1039r.csv,009b848c-ea64-4f22-bd40-711213a3d327,668415,322897,83673.0,72.72727273,2e+01,9.1,0,First 11
Responder 33,EM Resident,First responder master registry v2.0/22.03.16.1047.csv,22.03.16.1047.csv,1044049f-c7e0-4a16-98d3-e3826b4b8bfc,520167,371822,56520.4,54.54545455,2e+01,18.2,9,First 11
Responder 34,EM Resident,First responder master registry v2.0/22.03.16.1104r.csv,22.03.16.1104r.csv,0d3e0c62-db52-40f9-9ee8-7fc84a1dcbf2,501693,393141,29854.2,63.63636364,3e+01,0.0,9,First 11
Responder 35,EM Resident,First responder master registry v2.0/22.03.16.1108.csv,22.03.16.1108.csv,09f30ce2-1507-4ef1-84f1-3dfb3e6d9b86,454873,434341,100523.4,63.63636364,2e+01,10.0,0,First 11
Responder 36,EM Resident,First responder master registry v2.0/22.03.16.1123r.csv,22.03.16.1123r.csv,24205a11-9e21-44b7-a565-985454c90776,459490,400144,130362.8,72.72727273,1e+01,0.0,1e+01,First 11
Responder 37,EM Resident,First responder master registry v2.0/22.03.16.1124.csv,22.03.16.1124.csv,991af001-9414-4a2d-8079-0663c4ddb1e4,649185,462280,32394.0,72.72727273,2e+01,0.0,0,First 11
Responder 38,EM Resident,First responder master registry v2.0/22.03.16.1141r.csv,22.03.16.1141r.csv,46c273a6-b8be-46ea-96cd-72903780d43d,459383,409061,79614.2,72.72727273,2e+01,0.0,9,First 11
Responder 39,EM Resident,First responder master registry v2.0/22.03.16.1146.csv,22.03.16.1146.csv,a98adcc8-6df3-470d-961d-8248246472ca,524762,373299,19403.8,54.54545455,9,9.1,3e+01,First 11
Responder 40,EM Resident,First responder master registry v2.0/22.03.16.1156r.csv,22.03.16.1156r.csv,b541f5c9-93fe-4ef3-9fe7-38493b8aa8a8,486541,305086,34259.8,63.63636364,0,10.0,2e+01,First 11
Responder 41,EM Resident,First responder master registry v2.0/22.03.16.1204.csv,22.03.16.1204.csv,e353eee2-a630-40cd-b931-a98b12edd9b6,532007,510905,70366.2,72.72727273,2e+01,0.0,0,First 11
Responder 42,EM Resident,First responder master registry v2.0/22.03.16.1215r.csv,22.03.16.1215r.csv,0b1d6253-9c4f-43b7-8217-6f0e486aabe7,721147,557553,108786.0,72.72727273,1e+01,10.0,0,First 11
Responder 43,EM Resident,First responder master registry v2.0/22.03.16.1221.csv,22.03.16.1221.csv,09024025-1320-4891-aefa-a497744ed3e2,534911,406196,48226.0,81.81818182,0,9.1,9,First 11
Responder 44,EM Resident,First responder master registry v2.0/22.03.16.1239.csv,22.03.16.1239.csv,578a0cfc-a256-4002-ba75-4a61d700204e,719775,562422,40210.8,81.81818182,9,0.0,9,First 11
Responder 45,EM Resident,First responder master registry v2.0/22.03.16.1253.csv,22.03.16.1253.csv,b1ebfdc9-6338-4b80-ba76-947f8690bd91,440597,380812,28166.0,45.45454545,2e+01,10.0,2e+01,First 11
Responder 46,Paramedic,First responder master registry v2.0/23.03.03.1047.csv,23.03.03.1047.csv,ce1350af-79e6-475b-9c07-802b5ff5ca0a,380040,293597,5917.0,81.81818182,9,9.1,0,First 11
Responder 47,Paramedic,First responder master registry v2.0/23.03.03.1102.csv,23.03.03.1102.csv,d4f8b28e-a0a3-4969-a156-5bf86e4794ba,391842,120798,5625.75,81.81818182,9,9.1,0,First 11
Responder 48,EMT-Basic,First responder master registry v2.0/23.03.03.1117.csv,23.03.03.1117.csv,5c8b0274-379c-40ca-b6ff-b846f9e14ad5,571230,265461,17474.0,72.72727273,9,9.1,9,First 11
Responder 49,Paramedic,First responder master registry v2.0/23.03.03.1135.csv,23.03.03.1135.csv,5dce5abe-7ded-46e7-8d07-b2e2cd76ef55,482783,290348,10882.0,90.90909091,0,9.1,0,First 11
Responder 50,Paramedic,First responder master registry v2.0/23.03.03.1152.csv,23.03.03.1152.csv,30a49dd8-c08a-4994-a622-57647670b5bb,489001,368810,6242.0,9.09090909,6e+01,0.0,2e+01,First 11
Responder 51,Paramedic,First responder master registry v2.0/23.03.03.1213.csv,23.03.03.1213.csv,206da802-d38f-4f3a-98e3-44f99481479d,636471,405716,15860.0,63.63636364,9,9.1,2e+01,First 11
Responder 52,Paramedic,First responder master registry v2.0/23.03.03.1321r.csv,23.03.03.1321r.csv,e8cb6ae0-6d68-410f-88fc-4adf30d8bfac,558044,319354,70984.75,81.81818182,0,9.1,9,First 11
Responder 53,Paramedic,First responder master registry v2.0/23.03.03.1346.csv,23.03.03.1346.csv,e2e599c8-8e48-487f-9f95-a0a382432ca5,419573,284356,36259.0,81.81818182,1e+01,0.0,0,First 11
Responder 54,Paramedic,First responder master registry v2.0/23.03.07.0958.csv,23.03.07.0958.csv,2aeb2057-cbe2-494c-98a5-fc2bdbef1355,601880,538123,38145.5,90.90909091,0,9.1,0,First 11
Responder 55,Paramedic,First responder master registry v2.0/23.03.07.1016.csv,23.03.07.1016.csv,33e7d6b6-2868-42e6-8967-d6890efb87a7,346535,246384,6842.0,81.81818182,9,9.1,0,First 11
Responder 56,Paramedic,First responder master registry v2.0/23.03.07.1028.csv,23.03.07.1028.csv,400b6351-6f35-4f5b-98a6-db100a2fefd8,426931,250154,5086.0,72.72727273,1e+01,0.0,1e+01,First 11
Responder 57,Paramedic,First responder master registry v2.0/23.03.07.1044.csv,23.03.07.1044.csv,3f142e7e-1e18-4341-947a-71f2e7f35aa2,427646,366171,30447.25,54.54545455,1e+01,30.0,0,First 11
Responder 58,Paramedic,First responder master registry v2.0/23.03.07.1100.csv,23.03.07.1100.csv,868d644f-b0fa-4ef7-b29e-88bac6fb5740,357152,222405,11844.75,81.81818182,0,18.2,0,First 11
Responder 59,Paramedic,First responder master registry v2.0/23.03.07.1129.csv,23.03.07.1129.csv,524d5418-62f4-4834-9f1e-47202c30e667,723799,424710,17669.5,63.63636364,9,27.3,0,First 11
Responder 60,Paramedic,First responder master registry v2.0/23.03.07.1223.csv,23.03.07.1223.csv,e2458ea2-71b5-4b84-bbfb-dff0a969c9d2,472722,215186,15074.25,63.63636364,3e+01,9.1,0,First 11
Responder 61,Paramedic,First responder master registry v2.0/23.03.07.1329.csv,23.03.07.1329.csv,e3c2b4c6-d8b7-4b64-8cd0-7ca0e622f9b5,518836,316099,6206.75,81.81818182,9,9.1,0,First 11
Responder 62,Paramedic,First responder master registry v2.0/23.03.07.1348.csv,23.03.07.1348.csv,ee8a8276-1a9c-41fd-a793-a3eb6d337ff7,426221,308172,14185.5,72.72727273,2e+01,9.1,0,First 11
Responder 63,Paramedic,First responder master registry v2.0/23.03.07.1408.csv,23.03.07.1408.csv,b878d528-37a0-4175-a294-16c4de1fd5eb,526472,290472,16662.25,90.90909091,9,0.0,0,First 11
Responder 64,Paramedic,First responder master registry v2.0/23.03.08.1038.csv,23.03.08.1038.csv,89c48e7e-780f-4f1b-a846-fc0f4fd9841c,622590,422054,11820.5,72.72727273,0,20.0,0,First 11
Responder 65,Paramedic,First responder master registry v2.0/23.03.08.1127.csv,23.03.08.1127.csv,4ce8ee9f-45ea-42a8-86df-0038c777f040,451783,324301,49317.25,72.72727273,0,10.0,1e+01,First 11
Responder 66,Paramedic,First responder master registry v2.0/23.03.10.0753.csv,23.03.10.0753.csv,cf714cd2-2824-4ad2-8d98-3199b1df0bdb,375196,256288,11495.0,72.72727273,0,27.3,0,First 11
Responder 67,Paramedic,First responder master registry v2.0/23.03.10.0814.csv,23.03.10.0814.csv,040ba585-ccae-45ef-b4bd-a0e35ec222b0,364187,184918,14924.0,100.00000000,0,0.0,0,First 11
Responder 68,Paramedic,First responder master registry v2.0/23.03.10.0831.csv,23.03.10.0831.csv,40efaf29-70b3-435a-8847-bcd4235720be,417380,268688,16412.5,54.54545455,3e+01,18.2,0,First 11
Responder 69,Paramedic,First responder master registry v2.0/23.03.10.0855.csv,23.03.10.0855.csv,50e4351a-3afd-43ff-a65f-f84eaab0d0fd,409890,265336,9941.75,90.90909091,0,0.0,9,First 11
Responder 70,Paramedic,First responder master registry v2.0/23.03.10.0925.csv,23.03.10.0925.csv,75865699-63f9-46de-9adc-6936ad7c7d46,427084,284436,15180.75,72.72727273,9,18.2,0,First 11
Responder 71,Paramedic,First responder master registry v2.0/23.03.10.1007.csv,23.03.10.1007.csv,7e340eb0-fda8-4eea-addc-5f554be907a5,417042,232564,11916.5,63.63636364,2e+01,18.2,0,First 11
Responder 72,Paramedic,First responder master registry v2.0/23.03.10.1026.csv,23.03.10.1026.csv,1cfebb9a-6000-4742-81be-6103ebe168bc,437191,287103,11038.75,81.81818182,0,18.2,0,First 11
Responder 73,Medical Student,First responder master registry v2.0/23.03.14.0948.csv,23.03.14.0948.csv,37db3752-51c8-463f-94a5-2196b6854cf6,522680,392337,74180.0,90.90909091,9,0.0,0,First 11
Responder 74,Medical Student,First responder master registry v2.0/23.03.14.1014.csv,23.03.14.1014.csv,590bdfe9-828c-4367-a783-75ec19d7b7d0,541305,272728,8003.75,90.90909091,9,0.0,0,First 11
Responder 75,Medical Student,First responder master registry v2.0/23.03.14.1035.csv,23.03.14.1035.csv,37ed31fb-6f8a-4cc0-b80e-ac4138e42405,612964,400656,15090.0,54.54545455,5e+01,0.0,0,First 11
Responder 76,Medical Student,First responder master registry v2.0/23.03.14.1100.csv,23.03.14.1100.csv,a275e363-d113-4f29-873c-a312f732ae0d,550856,323497,13058.25,72.72727273,2e+01,9.1,0,First 11
Responder 77,Medical Student,First responder master registry v2.0/23.03.14.1136.csv,23.03.14.1136.csv,13839608-6085-4a88-a8f2-74af9fd06a05,661645,484933,12110.0,72.72727273,2e+01,0.0,0,First 11
Responder 78,Medical Student,First responder master registry v2.0/23.03.14.1231.csv,23.03.14.1231.csv,00b2e9d8-c3bb-4d89-92c1-abce5c4a0655,487326,309256,14765.25,81.81818182,9,9.1,0,First 11
Responder 79,Medical Student,First responder master registry v2.0/23.03.14.1252.csv,23.03.14.1252.csv,1344120d-5834-4bbf-8f60-383a8752b512,597307,364960,12413.25,72.72727273,2e+01,9.1,0,First 11
Responder 80,Medical Student,First responder master registry v2.0/23.03.14.1310.csv,23.03.14.1310.csv,b97662b0-aa86-4317-adae-7bce0e065eb5,370773,282475,14805.75,45.45454545,3e+01,27.3,0,First 11
Responder 81,Medical Student,First responder master registry v2.0/23.03.14.1328.csv,23.03.14.1328.csv,fe2602f0-e9e8-4913-8bf3-806852ce738a,548249,346500,26991.75,63.63636364,2e+01,0.0,1e+01,First 11
Responder 82,Medical Student,First responder master registry v2.0/23.03.14.1349.csv,23.03.14.1349.csv,1663640c-5a60-4fa6-8bf4-249f41a693a5,460231,391094,12459.75,81.81818182,9,9.1,0,First 11
Responder 83,Medical Student,First responder master registry v2.0/23.03.14.1408.csv,23.03.14.1408.csv,0fb12cf8-dcf5-4110-b090-3b3271e9add6,626974,507141,22207.5,100.00000000,0,0.0,0,First 11
Responder 84,Medical Student,First responder master registry v2.0/23.03.14.1434.csv,23.03.14.1434.csv,5de8dcc6-c6ab-43e5-9103-85c8d069cf4b,402876,307263,15569.0,90.90909091,9,0.0,0,First 11
Responder 85,Medical Student,First responder master registry v2.0/23.03.14.1436.csv,23.03.14.1436.csv,f02dc87e-8f04-4ddd-90fd-74dce1206bd6,373143,263296,13154.5,100.00000000,0,0.0,0,First 11
Responder 86,Medical Student,First responder master registry v2.0/23.03.14.1449.csv,23.03.14.1449.csv,a6470837-fcab-4478-bdbf-c27bdc3960ef,476507,443566,13164.0,90.90909091,9,0.0,0,First 11
Responder 87,Medical Student,First responder master registry v2.0/23.03.14.1519.csv,23.03.14.1519.csv,eb641af4-13da-4e13-a5dd-02eb0e7e6c23,554604,495787,80398.0,72.72727273,0,18.2,9,First 11
Responder 88,Medical Student,First responder master registry v2.0/23.03.14.1540.csv,23.03.14.1540.csv,6b704e43-9ef4-4d5c-b39b-40c41648f8d3,493592,295262,19117.75,72.72727273,1e+01,10.0,0,First 11
Responder 89,Medical Student,First responder master registry v2.0/23.03.15.0821.csv,23.03.15.0821.csv,b05e5139-6dd4-41d2-adb5-aedfebb028a6,448425,320181,5063.75,81.81818182,9,0.0,9,First 11
Responder 90,Medical Student,First responder master registry v2.0/23.03.15.0838.csv,23.03.15.0838.csv,b0ff9d39-598b-46b3-b3bc-1be3a791f10c,457816,255069,12680.0,72.72727273,3e+01,0.0,0,First 11
Responder 91,EM Resident,First responder master registry v2.0/23.03.15.1203.csv,23.03.15.1203r.csv,a7804ee3-6a1c-4462-957a-17976a540483,521285,448066,41357.75,81.81818182,0,18.2,0,First 11
Responder 92,EM Resident,First responder master registry v2.0/23.03.15.1216.csv,23.03.15.1216.csv,b3f3b351-c82b-47ef-81b5-0bce3be917f3,584172,540908,14688.5,63.63636364,2e+01,9.1,9,First 11
Responder 93,EM Resident,First responder master registry v2.0/23.03.15.1227.csv,23.03.15.1227.csv,06303b89-128e-4bfb-9e6f-a843da3134f9,431858,326317,6250.75,90.90909091,9,0.0,0,First 11
Responder 94,EM Resident,First responder master registry v2.0/23.03.15.1240.csv,23.03.15.1240.csv,a98b7327-dfd7-43c2-86e7-b5080ec86806,436640,296318,9350.25,63.63636364,2e+01,0.0,0,First 11
Responder 95,EM Resident,First responder master registry v2.0/23.03.15.1250.csv,23.03.15.1250.csv,4bac0722-bc76-4418-88f0-ccbbba469c5a,451626,240439,1594.5,81.81818182,2e+01,0.0,0,First 11
Responder 96,EM Resident,First responder master registry v2.0/23.03.15.1313.csv,23.03.15.1313.csv,61dd1584-76e8-4536-9aeb-15276e646ff4,489646,393903,11340.5,81.81818182,2e+01,0.0,0,First 11
Responder 97,Medical Student,First responder master registry v2.0/23.03.15.1334.csv,23.03.15.1334.csv,dd601aee-8360-41f2-b89d-c37f3eb2c617,438380,167293,18964.0,63.63636364,3e+01,0.0,9,First 11
Responder 98,EM Resident,First responder master registry v2.0/23.03.15.1344.csv,23.03.15.1344.csv,66cc58aa-8f53-4d06-b129-879fb3b08239,503225,380684,11276.75,72.72727273,3e+01,0.0,0,First 11
Responder 99,Medical Student,First responder master registry v2.0/23.03.15.1353.csv,23.03.15.1353.csv,43313faf-6031-4433-be70-d5d828f55cff,301782,143569,6718.0,63.63636364,2e+01,0.0,0,First 11
Responder 100,Paramedic,First responder master registry v2.0/23.04.19.0936.csv,23.04.19.0936.csv,5ffacacb-a874-43d3-a399-3cb959505047,357882,252266,7625.5,63.63636364,0,9.1,3e+01,First 11
Responder 101,Paramedic,First responder master registry v2.0/23.04.19.0949.csv,23.04.19.0949.csv,fd1c7057-2c2d-4dec-9297-92ef0621c15e,369400,314867,5638.5,72.72727273,3e+01,0.0,0,First 11
Responder 102,Paramedic,First responder master registry v2.0/23.04.19.1002.csv,23.04.19.1002.csv,f3cbb8a9-8d0c-48f0-ac0c-e379ac4d9411,470253,219611,16004.5,54.54545455,0,22.2,1e+01,First 11
Responder 103,Paramedic,First responder master registry v2.0/23.04.19.1017.csv,23.04.19.1017.csv,f1b2887d-8ed3-499e-8663-0fb9bd909fbc,425461,245561,7865.5,72.72727273,3e+01,0.0,0,First 11
Responder 104,Paramedic,First responder master registry v2.0/23.04.19.1032.csv,23.04.19.1032.csv,f3228193-b6dc-41fa-a2ab-1c5085046347,395870,237655,8744.5,100.00000000,0,0.0,0,First 11
Responder 105,Paramedic,First responder master registry v2.0/23.04.19.1104.csv,23.04.19.1104.csv,af8ec7e7-e34b-472d-98ea-2a78285c8de8,342233,163612,7357.75,90.90909091,0,9.1,0,First 11
Responder 106,Paramedic,First responder master registry v2.0/23.04.19.1117.csv,23.04.19.1117.csv,1df10bfd-0f85-42ff-a873-36dfe05df77b,468316,304519,21092.75,63.63636364,9,27.3,0,First 11
Responder 107,Paramedic,First responder master registry v2.0/23.04.19.1134.csv,23.04.19.1134.csv,d433b532-d35b-4fc6-b9fd-ed2e18e57c28,447071,342362,13909.75,63.63636364,9,18.2,9,First 11
Responder 108,Paramedic,First responder master registry v2.0/23.04.19.1154.csv,23.04.19.1154.csv,3228f729-d512-431a-bb96-d6f9aacb5d00,396201,250706,15483.25,63.63636364,0,27.3,9,First 11
Responder 109,Paramedic,First responder master registry v2.0/23.04.19.1226.csv,23.04.19.1226.csv,e1d845d3-9874-449b-83ef-6c649073a868,394724,292472,15692.0,90.90909091,9,0.0,0,First 11
Responder 110,Paramedic,First responder master registry v2.0/23.04.19.1256.csv,23.04.19.1256.csv,79426650-c950-40ee-816e-decddddd22e9,322212,216684,8529.75,81.81818182,9,0.0,9,First 11
Responder 111,Paramedic,First responder master registry v2.0/23.04.19.1324.csv,23.04.19.1324.csv,34bef815-47b3-4977-91f7-3bb68803387a,370593,284354,8201.0,72.72727273,2e+01,0.0,0,First 11
Responder 112,Paramedic,First responder master registry v2.0/23.04.19.1342.csv,23.04.19.1342.csv,6cc2fd2a-88a9-4ffa-9230-cfab1f206fce,362988,226028,8537.25,90.90909091,0,9.1,0,First 11
Responder 113,Paramedic,First responder master registry v2.0/23.04.19.1400.csv,23.04.19.1400.csv,b2276063-07ef-40b9-8764-bfb5e064699c,429051,402843,21543.0,72.72727273,2e+01,0.0,9,First 11
Responder 114,Paramedic,First responder master registry v2.0/23.04.19.1416.csv,23.04.19.1416.csv,7407aba4-aef4-4012-be6c-a237d225809d,644326,524934,55107.25,81.81818182,0,0.0,0,First 11
Responder 115,Paramedic,First responder master registry v2.0/23.04.19.1437.csv,23.04.19.1437.csv,2107820d-d55c-40bb-bb90-6b10c227664c,472220,329042,9844.75,100.00000000,0,0.0,0,First 11
Responder 116,Paramedic,First responder master registry v2.0/23.04.20.0826.csv,23.04.20.0826.csv,b792d8cf-a314-47ba-8da6-6998a8d735c2,620270,524764,86311.25,81.81818182,2e+01,0.0,0,First 11
Responder 117,EMT-Basic,First responder master registry v2.0/23.04.20.0847.csv,23.04.20.0847.csv,788af03e-aeee-4d53-8c97-f0060df61932,316675,266257,9933.75,100.00000000,0,0.0,0,First 11
Responder 118,Paramedic,First responder master registry v2.0/23.04.20.0858.csv,23.04.20.0858.csv,60d2041e-9b37-4c13-a73d-906e6ecebd01,328816,269869,31882.0,72.72727273,0,18.2,9,First 11
Responder 119,Paramedic,First responder master registry v2.0/23.04.20.0911.csv,23.04.20.0911.csv,f33f702d-4b79-43d9-b980-42dc10c2b882,444039,349690,10601.0,100.00000000,0,0.0,0,First 11
Responder 120,Paramedic,First responder master registry v2.0/23.04.20.0933.csv,23.04.20.0933.csv,41f05171-141a-4df6-9d89-334331310c9b,373555,256836,12623.25,72.72727273,0,11.1,0,First 11
Responder 121,Paramedic,First responder master registry v2.0/23.04.20.0951.csv,23.04.20.0951.csv,63b272d4-ae7c-4cc3-8e5b-d474b09a44c2,724083,617166,93035.25,72.72727273,0,10.0,1e+01,First 11
Responder 122,Paramedic,First responder master registry v2.0/23.04.20.1023.csv,23.04.20.1023.csv,f7d9738a-35c1-4af0-8e98-5bf3a1cff310,446906,244813,2489.0,63.63636364,9,27.3,0,First 11
Responder 123,Paramedic,First responder master registry v2.0/23.04.20.1049.csv,23.04.20.1049.csv,04acc8f2-1e64-47b2-9606-8d661f584aec,596164,435357,24487.25,90.90909091,9,0.0,0,First 11
Responder 124,Paramedic,First responder master registry v2.0/23.04.20.1115.csv,23.04.20.1115.csv,48e95cfe-1dd7-4085-9662-c77827980bdd,324118,246728,12367.0,81.81818182,0,18.2,0,First 11
Responder 125,Paramedic,First responder master registry v2.0/23.04.20.1134.csv,23.04.20.1134.csv,30d6a023-e0a3-4678-9ef2-6011964d225a,395919,307067,15383.0,81.81818182,0,18.2,0,First 11
Responder 126,Paramedic,First responder master registry v2.0/23.04.20.1151.csv,23.04.20.1151.csv,1fb559e8-15c6-463a-bda8-79ca0bfc330f,292979,184064,5032.75,90.90909091,9,0.0,0,First 11
Responder 127,Paramedic,First responder master registry v2.0/23.04.20.1203.csv,23.04.20.1203.csv,de04bec3-9503-467c-9c49-675720c4bab0,808968,500944,19253.0,90.90909091,9,0.0,0,First 11
Responder 128,Paramedic,First responder master registry v2.0/23.04.20.1255.csv,23.04.20.1255.csv,fdb4a6d9-72ef-4af7-bdd4-a05ba354a300,444616,309881,9095.75,72.72727273,9,9.1,9,First 11
Responder 129,EMT-Basic,First responder master registry v2.0/23.04.20.1308.csv,23.04.20.1308.csv,20168f93-040c-4290-aa7e-2b197825c9de,800854,654676,11352.75,90.90909091,9,0.0,0,First 11
Responder 130,Paramedic,First responder master registry v2.0/23.04.20.1326.csv,23.04.20.1326.csv,b5a82a5b-e259-4d87-bdb7-94f9cb1ce6ea,378819,318636,20507.0,90.90909091,9,0.0,0,First 11
