ID,Group,session_uuid,TtTS,TtHC,MTfHCpP,MPAT
Responder 41,Paramedic,206da802-d38f-4f3a-98e3-44f99481479d,636471,405716,5767.272727272727,63.333333333333336
Responder 42,Paramedic,20e5782a-d6f7-4361-a590-7e710c176765,274799,129668,2415.4545454545455,95.0
Responder 43,Paramedic,2107820d-d55c-40bb-bb90-6b10c227664c,472220,329042,3579.909090909091,100.0
Responder 44,Paramedic,21577c78-0085-4962-a363-b88526e3c212,588254,481005,4623.545454545455,80.0
Responder 45,Paramedic,21b0f09b-03b4-4af8-ac65-11ab1e5458d8,312598,212915,14035.09090909091,53.333333333333336
Responder 46,Medical Student,22e2c9a3-b93f-4f7f-896a-ca188c78505b,638276,420145,6022.545454545455,53.333333333333336
Responder 47,EM Resident,24205a11-9e21-44b7-a565-985454c90776,459490,400144,59255.818181818184,55.555555555555564
Responder 48,Paramedic,251a4532-ff1f-4182-91ce-4215786a339a,474411,284910,3123.4545454545455,80.0
Responder 49,Paramedic,25309ebf-8ca2-4678-af43-2d4030eb1c5d,643123,373773,8124.727272727273,93.33333333333334
Responder 50,Paramedic,25de35e0-354f-4785-9738-31c44e37fcbc,481026,308121,2934.818181818182,71.66666666666666
Responder 51,EM Resident,26f08763-076e-4531-a6f7-f00232f664bd,291709,290956,29958.545454545456,55.0
Responder 52,Medical Student,27c2fa44-ba05-417c-ae95-317b06870dc9,824136,514962,35898.90909090909,81.66666666666666
Responder 53,Medical Student,2930a371-1187-4b98-adfc-19e095637e48,461215,287484,7849.727272727273,68.33333333333334
Responder 54,Paramedic,2aeb2057-cbe2-494c-98a5-fc2bdbef1355,601880,538123,13871.09090909091,95.0
Responder 55,Medical Student,2afd4e87-ac2a-4738-9e46-3b19d3385a32,154441,141460,0.0,50.0
Responder 56,EMT-Basic,2bc11b9d-374b-4ab7-9d87-967931962fe8,454869,294741,1886.7272727272727,85.0
Responder 57,Medical Student,2d26ca7b-1dbb-42e4-9bbf-bf0d131e2e06,481427,436377,101675.90909090909,36.66666666666667
Responder 58,Paramedic,2d511693-6144-45ee-89df-aba0ca629c84,342682,227439,2491.909090909091,75.0
Responder 59,Paramedic,2d920452-cfa3-41f4-95de-36b62a023900,409283,236283,4330.090909090909,100.0
Responder 60,Paramedic,2df4352b-22b9-4a9f-9c2c-6031978251e1,489653,252834,4834.363636363636,88.33333333333334
Responder 61,Paramedic,30a49dd8-c08a-4994-a622-57647670b5bb,489001,368810,2269.818181818182,20.0
Responder 62,Paramedic,30d6a023-e0a3-4678-9ef2-6011964d225a,395919,307067,5593.818181818182,90.0
Responder 63,Paramedic,313259a4-162f-44f6-8479-92e4554a1464,464331,270436,2084.3636363636365,93.33333333333334
Responder 64,EM Resident,321db911-0ed9-421a-9219-bb02038ac660,615663,574558,68952.27272727272,78.33333333333334
Responder 65,Paramedic,3228f729-d512-431a-bb96-d6f9aacb5d00,396201,250706,5630.272727272727,60.0
Responder 66,EM Resident,33b51683-fa6a-4dd3-82e5-de08bcc17c14,413487,313956,27108.0,51.66666666666667
Responder 67,Paramedic,33e7d6b6-2868-42e6-8967-d6890efb87a7,346535,246384,2488.0,88.33333333333334
Responder 68,Paramedic,33f3d2d4-49b4-43cf-80d4-cd7d5993aca4,475707,347878,6116.363636363636,86.66666666666666
Responder 69,Paramedic,3435501b-192a-457f-9763-7985f7975784,503491,422495,7159.727272727273,93.33333333333334
Responder 70,Paramedic,3459b742-650d-4c82-bb7b-db84a843cc66,445714,320543,1893.909090909091,88.33333333333334
Responder 71,Paramedic,34bef815-47b3-4977-91f7-3bb68803387a,370593,284354,2982.181818181818,66.66666666666667
Responder 72,Paramedic,36ebe99c-dcda-4677-945c-cb05f312d61c,551858,322208,3914.090909090909,88.33333333333334
Responder 73,Paramedic,37daf3d7-4288-4954-a0bd-ca6872cf1e82,610969,384313,3708.5454545454545,70.0
Responder 74,Medical Student,37db3752-51c8-463f-94a5-2196b6854cf6,522680,392337,19675.454545454544,93.33333333333334
Responder 75,Medical Student,37ed31fb-6f8a-4cc0-b80e-ac4138e42405,612964,400656,5487.272727272727,60.0
Responder 76,Medical Student,38b995b3-fb77-4fda-b0b4-21f062ed6a38,781506,678670,73001.81818181818,35.0
Responder 77,Paramedic,3bac8365-232a-4be0-a551-c5214b9f0706,456997,263641,4968.181818181818,90.0
Responder 78,Paramedic,3ce991bc-a2d1-46fd-a3a4-d3611e946ed7,492464,373406,5926.272727272727,100.0
Responder 79,Paramedic,3e4e23e4-ce9e-44b7-9a1e-6e2923b33123,318103,260514,4080.6363636363635,93.33333333333334
Responder 80,Paramedic,3f142e7e-1e18-4341-947a-71f2e7f35aa2,427646,366171,11071.727272727272,65.27777777777779
Responder 81,Paramedic,400b6351-6f35-4f5b-98a6-db100a2fefd8,426931,250154,1849.4545454545455,61.111111111111114
Responder 82,Paramedic,401ce554-b556-4a10-88bb-424ed5c22ea8,508503,393562,7592.636363636364,100.0
Responder 83,Paramedic,40efaf29-70b3-435a-8847-bcd4235720be,417380,268688,5968.181818181818,70.0
Responder 84,Paramedic,41f05171-141a-4df6-9d89-334331310c9b,373555,256836,4590.272727272727,77.77777777777779
Responder 85,EMT-Basic,4226ad6c-bb0a-4df0-8c4a-64c312927578,361967,254446,5617.272727272727,72.22222222222223
Responder 86,Medical Student,43313faf-6031-4433-be70-d5d828f55cff,301782,143569,2442.909090909091,58.333333333333336
Responder 87,Paramedic,44458d4a-3cce-4907-85e3-3db1375ce6bb,519379,380512,4277.545454545455,66.66666666666667
Responder 88,Paramedic,445ceb23-1514-4490-9aa6-f2fc55b5d28e,363771,284789,9202.545454545454,66.66666666666666
Responder 89,Paramedic,45118b95-412c-4a2d-9373-8f7da3428ca8,551816,359317,7318.181818181818,71.66666666666666
Responder 90,EM Resident,46c273a6-b8be-46ea-96cd-72903780d43d,459383,409061,36188.27272727273,88.33333333333334
Responder 91,Paramedic,48e95cfe-1dd7-4085-9662-c77827980bdd,324118,246728,4497.090909090909,85.0
Responder 92,Paramedic,496ff2bf-605d-4654-b945-dc2b0aaea626,454979,291981,3753.3636363636365,63.333333333333336
Responder 93,EMT-Basic,4a504e80-0232-4978-9a63-7e503e86c5e3,545593,337446,5811.909090909091,95.0
Responder 94,EM Resident,4bac0722-bc76-4418-88f0-ccbbba469c5a,451626,240439,579.8181818181819,83.33333333333334
Responder 95,EM-Faculty,4ca5febe-0a4b-4c77-bd3e-6632ae760df1,748440,618707,19674.454545454544,78.33333333333334
Responder 96,Paramedic,4ce8ee9f-45ea-42a8-86df-0038c777f040,451783,324301,17933.545454545456,62.5
Responder 97,Paramedic,4f66ee10-3104-44ec-8d31-9e1c2b33f36d,311872,226587,3085.4545454545455,93.33333333333334
Responder 98,Paramedic,50e4351a-3afd-43ff-a65f-f84eaab0d0fd,409890,265336,3615.181818181818,80.0
Responder 99,Paramedic,51f8d40c-9550-4ef1-a71c-e030c0a08f29,322891,257246,3238.3636363636365,100.0
Responder 100,Paramedic,524d5418-62f4-4834-9f1e-47202c30e667,723799,424710,6425.272727272727,60.0
Responder 101,Paramedic,52e2653e-2230-4d8a-929b-e2a12dcb56c4,456807,339444,5961.545454545455,27.777777777777782
Responder 102,Paramedic,55dcba1c-2bfc-4028-984d-5c288c8b7265,466776,328257,17433.81818181818,50.0
Responder 103,EM Resident,578a0cfc-a256-4002-ba75-4a61d700204e,719775,562422,18277.636363636364,80.0
Responder 104,Medical Student,590bdfe9-828c-4367-a783-75ec19d7b7d0,541305,272728,2910.4545454545455,90.0
Responder 105,Paramedic,5aca0157-02d0-4409-a4fe-f64d03fd34a1,342471,244457,3290.2727272727275,100.0
Responder 106,Paramedic,5c5c9f6e-555c-4ae2-a0c0-7e5eb84a92dd,360467,239164,2340.4545454545455,37.5
Responder 107,EM Resident,5c720560-85f5-4bb1-9aa5-41207f6259a2,503603,444171,12187.272727272728,55.0
Responder 108,EMT-Basic,5c8b0274-379c-40ca-b6ff-b846f9e14ad5,571230,265461,6354.181818181818,65.0
Responder 109,Medical Student,5d916938-e0d3-47ee-8f55-12bf12283ee1,411083,231353,4685.0,73.33333333333334
Responder 110,Paramedic,5dce5abe-7ded-46e7-8d07-b2e2cd76ef55,482783,290348,3957.090909090909,95.0
Responder 111,Medical Student,5de8dcc6-c6ab-43e5-9103-85c8d069cf4b,402876,307263,5661.454545454545,93.33333333333334
Responder 112,Paramedic,5e1e1072-2244-4473-996d-e2cb337b805b,381885,226370,3182.0,88.33333333333334
Responder 113,Paramedic,5ffacacb-a874-43d3-a399-3cb959505047,357882,252266,2772.909090909091,65.0
Responder 114,Paramedic,60d2041e-9b37-4c13-a73d-906e6ecebd01,328816,269869,11593.454545454546,80.0
Responder 115,Paramedic,60d42fe6-f30b-4eab-ba01-644dde714e4d,480888,326489,2818.818181818182,95.0
Responder 116,Paramedic,61dba1bb-2326-48f9-968f-9e0e4c867eee,430121,413781,8821.90909090909,90.0
Responder 117,EM Resident,61dd1584-76e8-4536-9aeb-15276e646ff4,489646,393903,4123.818181818182,86.66666666666666
Responder 118,Paramedic,638950ca-b008-4b14-bd07-933e16e7d8e0,338475,231721,1582.8181818181818,83.33333333333334
Responder 119,Paramedic,63b272d4-ae7c-4cc3-8e5b-d474b09a44c2,724083,617166,33831.0,75.0
Responder 120,EM Resident,66cc58aa-8f53-4d06-b129-879fb3b08239,503225,380684,4100.636363636364,66.66666666666666
Responder 121,Paramedic,6774cf2a-7728-4387-8788-934246a1e906,628403,386862,15816.90909090909,68.33333333333334
Responder 122,EM-Faculty,677d1c18-f292-4bcb-924d-52f5e762533f,946700,736822,38011.72727272727,78.33333333333334
Responder 123,EM Resident,67ed9702-0908-454a-8069-7ca4a6f2bee9,323859,170527,2848.7272727272725,58.333333333333336
Responder 124,Paramedic,6816890d-3882-41a2-ac2a-e6c4171d2da2,423764,227997,4651.363636363636,93.33333333333334
Responder 125,Paramedic,684d04c4-83c1-49b6-b798-ddd431438857,829580,763817,9337.363636363636,85.0
Responder 126,Paramedic,68f0ccd0-ecbc-4b90-b5d1-83d9517995b8,490780,343546,7190.727272727273,95.0
Responder 127,Paramedic,6909d3b6-a43a-4d26-8c83-9bd8a5ea569f,392917,309155,5519.0,66.66666666666667
Responder 128,Paramedic,6925e2d8-3f2b-443d-8e59-7bac6684464d,352698,226159,3758.7272727272725,100.0
Responder 129,Paramedic,693461dd-b8f6-4c60-92b6-bd1db0ffcac8,484017,302260,2917.4545454545455,88.33333333333334
Responder 130,Medical Student,6b704e43-9ef4-4d5c-b39b-40c41648f8d3,493592,295262,6951.909090909091,73.61111111111111
Responder 131,Medical Student,6cb3d605-3736-4255-bf3b-92473d9df21e,471611,446910,126595.63636363637,55.0
Responder 132,Paramedic,6cc2fd2a-88a9-4ffa-9230-cfab1f206fce,362988,226028,3104.4545454545455,95.0
Responder 133,Paramedic,6d681ea4-2632-4ede-a5d6-6e493c5ebd53,573081,356509,27398.545454545456,83.33333333333334
Responder 134,Paramedic,716087c9-37c5-43b8-93ab-18339caefcd2,430473,248865,5656.636363636364,70.0
Responder 135,Paramedic,71a7d2ce-2dea-4bec-8348-028e74fcd092,398772,300246,2022.3636363636363,68.33333333333334
Responder 136,Paramedic,736e625b-bb07-452c-9302-b37bb27cbf43,412659,388356,1626.6363636363637,80.0
Responder 137,EMT-Basic,73df0a9b-795b-41e2-97a0-6079fb7ca739,439544,183974,2026.4545454545455,95.0
Responder 138,Paramedic,7407aba4-aef4-4012-be6c-a237d225809d,644326,524934,20039.0,83.33333333333333
Responder 139,Paramedic,741e494b-63ff-4ea2-ad88-657f2276045d,525535,357763,5457.454545454545,75.0
Responder 140,Paramedic,75865699-63f9-46de-9adc-6936ad7c7d46,427084,284436,5520.272727272727,83.33333333333334
Responder 141,EM Resident,75b3227f-2f3c-4fe0-b9b8-9e0fe3baa210,685982,675510,46106.90909090909,75.0
Responder 142,Paramedic,77c15654-dbf5-46da-8e84-fe418cdf1c59,435366,237227,3772.4545454545455,70.0
Responder 143,EMT-Basic,788af03e-aeee-4d53-8c97-f0060df61932,316675,266257,3612.2727272727275,100.0
Responder 144,Paramedic,79426650-c950-40ee-816e-decddddd22e9,322212,216684,3101.7272727272725,73.33333333333334
Responder 145,Paramedic,7a1065f6-1a05-4d2b-bf14-73cafdb9ce4b,340791,305352,3955.7272727272725,77.77777777777779
Responder 146,Paramedic,7dacebd5-f16e-4faa-8a00-f738b7d04e3b,495581,371888,6641.0,80.0
Responder 147,Paramedic,7de52180-d823-4f9e-9003-aeab8139970b,310490,282695,4278.0,75.0
Responder 148,Paramedic,7e340eb0-fda8-4eea-addc-5f554be907a5,417042,232564,4333.272727272727,71.66666666666666
Responder 149,Paramedic,7f639dc1-fce0-4aa9-b76a-c355894d05ed,523799,287726,6504.636363636364,81.66666666666666
Responder 150,Paramedic,81d7c616-7896-4e0a-9cfc-155590686377,427079,294468,1605.4545454545455,90.0
Responder 151,Paramedic,83b96c70-e156-4c10-b463-800c5a468ec5,637304,429833,4776.545454545455,70.0
Responder 152,EMT-Basic,84282ed0-0e63-44e0-8b39-5156e3c868d0,628952,523505,3790.7272727272725,41.66666666666667
Responder 153,Paramedic,84f8db6a-1993-493f-b6cb-609ac3b45107,324415,140984,2761.0,88.33333333333334
Responder 154,Paramedic,8581c1f8-a4e8-4245-ac73-2bd671237001,340440,199873,1596.5454545454545,85.0
Responder 155,Medical Student,86366fd5-be94-43cc-a9e9-7c98609c0a66,554398,317589,16782.727272727272,51.38888888888889
Responder 156,EMT-Basic,868cbf3b-f04a-4e1a-a207-95881d529378,379477,253577,4818.818181818182,95.0
Responder 157,Paramedic,868d644f-b0fa-4ef7-b29e-88bac6fb5740,357152,222405,4307.181818181818,85.0
Responder 158,Paramedic,86c4cdb2-0073-43fb-b60a-dc13fa46a9ca,512085,335580,4414.090909090909,70.0
Responder 159,Paramedic,87efcdf5-9090-4fa5-afac-25c778924e9a,433207,312972,4816.181818181818,90.0
Responder 160,Other HP,8832990e-c81c-45c4-96d5-3ca57a75cbe6,503035,403395,5168.727272727273,81.66666666666666
Responder 161,Paramedic,89c48e7e-780f-4f1b-a846-fc0f4fd9841c,622590,422054,4298.363636363636,70.0
Responder 162,Paramedic,89ec8f32-0018-48e7-8cad-c86bd73257f2,359015,247356,5374.545454545455,68.33333333333334
Responder 163,Paramedic,89f0e2ad-384b-4ef0-ab96-d865521f88ce,476677,323761,3932.7272727272725,78.33333333333334
Responder 164,Paramedic,8b5e760a-1f1a-4a28-bd8f-768bc5f216c6,453895,371905,3580.6363636363635,76.66666666666666
Responder 165,Paramedic,8ceb28a3-e268-4930-a1c6-84cac4f6239c,334646,182558,3179.7272727272725,70.0
Responder 166,Medical Student,8d30008e-c05a-4b2d-8b1c-2e0857985912,800364,0,0.0,0.0
Responder 167,Paramedic,8f0e76c0-6ff2-4974-b0f7-3f416e22fa90,568123,275856,3337.909090909091,80.0
Responder 168,Paramedic,8f6097ce-795d-483a-a811-e6a5423bc59d,714358,562224,16821.363636363636,62.5
Responder 169,Paramedic,9179223d-a6e0-4612-8200-40f30d05c11e,305139,225603,3381.090909090909,70.83333333333333
Responder 170,Paramedic,926de73a-7764-4409-920e-b2416cb57f9b,399736,222450,3432.6363636363635,70.83333333333333
Responder 171,Paramedic,93b9eeb6-e902-4466-a518-a992c61146f8,479821,422369,73037.81818181818,52.77777777777778
Responder 172,Paramedic,97401484-055e-4590-9a11-7d911c42564b,355260,201628,2813.3636363636365,73.33333333333334
Responder 173,Paramedic,983344e9-c2d0-46b5-a8ba-da6e37d04f1d,399473,299402,5345.090909090909,43.333333333333336
Responder 174,Paramedic,98bad4ce-f31e-40f1-898e-ed38755e0340,545157,323166,7644.090909090909,85.0
Responder 175,EM Resident,991af001-9414-4a2d-8079-0663c4ddb1e4,649185,462280,14724.545454545454,66.66666666666667
Responder 176,Paramedic,992d4672-7993-44ba-890c-0d8605ccefdd,403952,314612,5043.545454545455,86.66666666666666
Responder 177,Medical Student,9a6d2f32-10fb-40ea-bacc-dd6a7d2f4a13,616771,350390,24306.909090909092,55.0
Responder 178,Medical Student,9cd41444-4813-45a8-81d0-a1d068184c8e,460942,346792,4102.363636363636,63.333333333333336
Responder 179,Paramedic,9d142377-69d6-4622-958d-a29a6a0a0d21,419684,336348,3644.0,73.33333333333334
Responder 180,Medical Student,9e0f8037-329b-496a-817a-daae83aa941f,537861,516390,30911.363636363636,26.666666666666668
Responder 181,Medical Student,9f03c005-21d8-4934-8bb9-7152347726d1,654825,599744,42019.09090909091,40.0
Responder 182,Paramedic,9fac5a9d-0f55-4473-9744-f7100561354f,464863,329595,6282.909090909091,68.33333333333334
Responder 183,Paramedic,a118a19a-0126-48ea-9d7b-7762f8e99926,380304,278574,16484.18181818182,100.0
Responder 184,Paramedic,a1cb9dd5-e62b-4085-99d8-688e0a3856ee,397968,293116,6885.818181818182,75.0
Responder 185,Medical Student,a275e363-d113-4f29-873c-a312f732ae0d,550856,323497,4748.454545454545,81.66666666666666
Responder 186,Paramedic,a3113d56-505e-40c1-8c39-09baacc82efa,415533,266655,17468.909090909092,65.0
Responder 187,EM-Faculty,a40659ab-dfbf-43ab-91cb-72a48a82c426,438803,342335,18184.18181818182,86.66666666666666
Responder 188,EM Resident,a437d61b-adad-424f-9714-83382548fda2,527634,411249,9360.818181818182,85.0
Responder 189,Paramedic,a62cdd57-739f-4f98-b0bd-45e7aced8b73,516590,401185,2331.818181818182,95.0
Responder 190,Medical Student,a6470837-fcab-4478-bdbf-c27bdc3960ef,476507,443566,4786.909090909091,93.33333333333334
Responder 191,EM Resident,a7804ee3-6a1c-4462-957a-17976a540483,521285,448066,15039.181818181818,90.0
Responder 192,EM Resident,a98adcc8-6df3-470d-961d-8248246472ca,524762,373299,8819.90909090909,65.0
Responder 193,EM Resident,a98b7327-dfd7-43c2-86e7-b5080ec86806,436640,296318,3400.090909090909,63.333333333333336
Responder 194,Paramedic,ab1f8cd1-8d65-45da-b087-89b25ff46c66,775735,453779,6533.727272727273,86.66666666666666
Responder 195,Medical Student,aca8a746-0f72-4c8d-87a5-70d836da8768,536218,370823,9560.818181818182,80.0
Responder 196,Paramedic,af8ec7e7-e34b-472d-98ea-2a78285c8de8,342233,163612,2675.5454545454545,90.0
Responder 197,Medical Student,b05e5139-6dd4-41d2-adb5-aedfebb028a6,448425,320181,1841.3636363636363,73.33333333333334
Responder 198,Paramedic,b0a0d36e-4fb8-43b7-a966-d730e1130945,371702,308771,6270.909090909091,66.66666666666666
Responder 199,Medical Student,b0ff9d39-598b-46b3-b3bc-1be3a791f10c,457816,255069,4610.909090909091,76.66666666666666
Responder 200,EM Resident,b1ebfdc9-6338-4b80-ba76-947f8690bd91,440597,380812,12802.727272727272,62.5
Responder 201,Paramedic,b2276063-07ef-40b9-8764-bfb5e064699c,429051,402843,7833.818181818182,60.0
Responder 202,EM Resident,b26d61b8-9027-4b16-ba3b-bc337bc6e681,388061,262792,9474.545454545454,93.33333333333334
Responder 203,EM Resident,b3f3b351-c82b-47ef-81b5-0bce3be917f3,584172,540908,5341.272727272727,61.666666666666664
Responder 204,Paramedic,b440a9ce-e511-43e3-bc20-c9b2bed11005,426987,320829,4206.0,86.66666666666666
Responder 205,Nurse,b52e71ec-050f-49e1-b495-7c36f5537544,444812,235884,5067.909090909091,90.0
Responder 206,EM Resident,b541f5c9-93fe-4ef3-9fe7-38493b8aa8a8,486541,305086,15572.636363636364,66.66666666666667
Responder 207,Paramedic,b5a82a5b-e259-4d87-bdb7-94f9cb1ce6ea,378819,318636,7457.090909090909,90.0
Responder 208,Paramedic,b792d8cf-a314-47ba-8da6-6998a8d735c2,620270,524764,31385.909090909092,86.66666666666666
Responder 209,Paramedic,b878d528-37a0-4175-a294-16c4de1fd5eb,526472,290472,6059.0,80.0
Responder 210,Medical Student,b97662b0-aa86-4317-adae-7bce0e065eb5,370773,282475,5383.909090909091,61.666666666666664
Responder 211,Paramedic,b97bfac8-c52a-4019-8494-1e9ae36df7cf,450253,290584,4576.181818181818,88.33333333333334
Responder 212,Paramedic,c12f8355-5a14-4ccc-bde4-d8038cae9220,384114,228332,13950.818181818182,93.33333333333334
Responder 213,Paramedic,c51a263e-fca1-4d93-929a-2c644cc441c6,324733,189839,2978.5454545454545,90.0
Responder 214,Medical Student,c598ce3a-f613-4d50-8a2f-96cfab35de1c,316225,0,0.0,100.0
Responder 215,Paramedic,c7587083-faff-4bca-b678-ae156bd4a3f0,399569,191829,5300.545454545455,73.33333333333334
Responder 216,Medical Student,c82e4612-4e6f-4834-bc7f-6092327c44fa,409201,253159,5656.636363636364,83.33333333333334
Responder 217,Paramedic,c993d63e-166e-45fa-9cb3-07908a234428,362342,245606,2586.818181818182,100.0
Responder 218,Paramedic,cc319a3d-a27d-44a2-a594-ff5cecd9ee9a,470620,308445,6862.545454545455,55.0
Responder 219,Paramedic,cc6ad812-608f-4fc3-bae6-f837aaa056c0,280593,203280,3953.4545454545455,75.0
Responder 220,Paramedic,ccfb5502-64b5-4d1c-9ca3-63f522330041,94525,55379,0.0,0.0
Responder 221,Paramedic,ccfca520-5965-40d9-9a19-f0a19d208fdc,325872,203322,2711.090909090909,58.333333333333336
Responder 222,EMT-Basic,cdc7b0ec-a883-4705-9b55-b618d429808e,428909,135046,3853.090909090909,75.0
Responder 223,Paramedic,cde3b77f-2e08-4b86-9081-d0faa979cbc8,509732,272814,3354.6363636363635,60.0
Responder 224,Paramedic,ce1350af-79e6-475b-9c07-802b5ff5ca0a,380040,293597,2151.6363636363635,75.0
Responder 225,EM Resident,ce41d7c3-9e24-4840-865f-3b7f7cd828f7,488626,321956,5638.636363636364,56.66666666666667
Responder 226,Paramedic,cf714cd2-2824-4ad2-8d98-3199b1df0bdb,375196,256288,4180.0,80.0
Responder 227,Paramedic,cf953248-e6cf-4544-95ce-4843d0f56f10,495644,288084,5892.272727272727,80.0
Responder 228,Paramedic,d06f4054-097a-46ef-a88e-69665bf42389,355764,197533,2570.818181818182,77.77777777777779
Responder 229,Paramedic,d0e616ae-5458-42c9-a013-55b8f3b51b06,337336,242309,6342.454545454545,95.0
Responder 230,Medical Student,d11543fd-7b7f-4883-bd69-afe8128a76f2,411487,294022,5643.363636363636,55.0
Responder 231,Paramedic,d1445846-942b-422f-86ae-8b2a0b6133a8,391601,318202,2729.909090909091,100.0
Responder 232,Paramedic,d2c676e2-fddc-4872-9a26-b621d6585df9,402952,315251,14049.272727272728,100.0
Responder 233,Paramedic,d347b967-5e20-4527-95dd-3a0fdf73af1d,511927,313360,40562.63636363636,86.66666666666666
Responder 234,Paramedic,d433b532-d35b-4fc6-b9fd-ed2e18e57c28,447071,342362,5058.090909090909,58.333333333333336
Responder 235,Paramedic,d45ac4ce-be32-424b-a50f-fa8007af4fed,348280,192113,3685.0,69.44444444444444
Responder 236,Paramedic,d4f8b28e-a0a3-4969-a156-5bf86e4794ba,391842,120798,2045.7272727272727,88.33333333333334
Responder 237,Paramedic,d58c859d-d4b5-4213-88d7-df5c168fa646,539928,337374,11325.545454545454,83.33333333333334
