text_str,ent_phrase,ent_type,ent_start,ent_end,nlp_word,nlp_tag,nlp_type,nlp_pofs,bert_word,bert_entity,bert_score,bert_start,bert_end,is_probe,lr_is_probe,rf_is_probe,hgb_is_probe
enema,,,,,Enema,NNP,FAC,PROPN,,,,,,False,,,
multimedia,,,,,Multimedia,NNP,ORG,PROPN,,,,,,False,,,
rescuer,,,,,rescuer,NN,,NOUN,,,,,,False,,,
the abuse of casuistry,The Abuse of Casuistry,ORG,,,,,,,,,,,,False,,,
1-800,1-800,CARDINAL,73275.0,73280.0,,,,,,,,,,False,,,
tyner cf,Tyner CF,GPE,44090.0,44098.0,,,,,,,,,,False,,,
fiercest,,,,,fiercest,NN,,NOUN,,,,,,False,,,
proceeded,,,,,proceeded,,,VERB,,,,,,False,,,
"navy,4",,,,,"Navy,4",NNP,PRODUCT,PROPN,,,,,,False,,,
"air 
force instruction","Air 
Force Instruction",ORG,51415.0,51437.0,,,,,,,,,,False,,,
1977;16:1442–1449,,,,,1977;16:1442–1449,CD,CARDINAL,NUM,,,,,,False,,,
26–29,,,,,26–29,CD,,NUM,,,,,,False,,,
conscientiously,,,,,conscientiously,RB,,ADV,,,,,,False,,,
icon,,,,,icon,NN,,NOUN,,,,,,False,,,
prejudice,,,,,prejudice,,,,,,,,,False,,,
56/58,,,,,56/58,CD,CARDINAL,NUM,,,,,,False,,,
hispanic,,,,,Hispanic,,NORP,,,,,,,False,,,
sheltering,,,,,sheltering,VBG,,VERB,,,,,,False,,,
racial-,,,,,racial-,VBZ,,VERB,,,,,,False,,,
exchanges,,,,,exchanges,NNS,,NOUN,,,,,,False,,,
http://www.va.gov/opa/publications/factsheets/fs_americas_wars,,,,,http://www.va.gov/opa/publications/factsheets/fs_americas_wars,NNS,,NOUN,,,,,,False,,,
20889,,,,,20889,CD,CARDINAL,NUM,,,,,,False,,,
alexandria,,,,,Alexandria,NNP,GPE,PROPN,,,,,,False,,,
modifying,,,,,,,,,,,,,,False,,,
pope,,,,,Pope,NNP,,PROPN,,,,,,False,,,
13-5,13-5,CARDINAL,122678.0,122682.0,,,,,,,,,,False,,,
sicily,,,,,Sicily,NNP,GPE,PROPN,,,,,,False,,,
nuclear forces] treaty,Nuclear Forces] Treaty,WORK_OF_ART,62841.0,62863.0,,,,,,,,,,False,,,
6–8,,,,,6–8,CD,CARDINAL,NUM,,,,,,False,,,
2014;8:143–151,,,,,2014;8:143–151,CD,CARDINAL,NUM,,,,,,False,,,
table 1-2,Table 1-2,,,,,,,,,,,,,False,,,
duquesne law,Duquesne Law,ORG,86149.0,86161.0,,,,,,,,,,False,,,
massachusetts 01770,Massachusetts 01770,ORG,1327.0,1346.0,,,,,,,,,,False,,,
more than one service,more than one Service,MONEY,64743.0,64764.0,,,,,,,,,,False,,,
exonerated,,,,,exonerated,VBD,,VERB,,,,,,False,,,
implicate,,,,,implicate,VBP,,VERB,,,,,,False,,,
british,,,,,British,,,,,,,,,False,,,
ofda,,,,,OFDA,NNP,ORG,PROPN,,,,,,False,,,
pur134,,,,,pur134,NNP,ORG,PROPN,,,,,,False,,,
explained,,,,,explained,,,VERB,,,,,,False,,,
rusnak,,,,,Rusnak,NNP,,PROPN,,,,,,False,,,
complexes,,,,,complexes,NNS,,NOUN,,,,,,False,,,
deconstruction,,,,,deconstruction,NN,,NOUN,,,,,,False,,,
parlementaire party,PARLEMENTAIRE PARTY,ORG,630043.0,630062.0,,,,,,,,,,False,,,
prentice,,,,,Prentice,NNP,ORG,PROPN,,,,,,False,,,
at least a,at least a,CARDINAL,32270.0,32280.0,,,,,,,,,,False,,,
1579780,,,,,1579780,CD,,NUM,,,,,,False,,,
lingers,,,,,lingers,VBZ,,VERB,,,,,,False,,,
students,,,,,,,,,,,,,,False,,,
clash,,,,,clash,,,,,,,,,False,,,
coldrated,,,,,coldrated,VBN,,VERB,,,,,,False,,,
fathom,,,,,fathom,VB,,VERB,,,,,,False,,,
portray,,,,,portray,,,VERB,,,,,,False,,,
deportation,,,,,,NN,,NOUN,,,,,,False,,,
the supreme court,,ORG,,,,,,,,,,,,False,,,
management,,,,,,,,,,,,,,False,,,
vandegrift,,,,,Vandegrift,NNP,,PROPN,,,,,,False,,,
"the state
progression","The State
Progression",ORG,12980.0,13001.0,,,,,,,,,,False,,,
rout,,,,,rout,NN,,NOUN,,,,,,False,,,
manpower,,,,,,,,,,,,,,False,,,
"major, medical corps","Major, Medical Corps",ORG,,,,,,,,,,,,False,,,
promulgate,,,,,promulgate,VBP,,VERB,,,,,,False,,,
biomedical ethics review,Biomedical Ethics Review,ORG,115526.0,115550.0,,,,,,,,,,False,,,
receptors,,,,,receptors,NNS,,NOUN,,,,,,False,,,
keep personal protection equipment,Keep Personal Protection Equipment,ORG,28543.0,28577.0,,,,,,,,,,False,,,
-the,,,,,-The,COLON,,PUNCT,,,,,,False,,,
sociometry,,,,,Sociometry,NNP,,PROPN,,,,,,False,,,
overfat,,,,,overfat,NN,,NOUN,,,,,,False,,,
titrate,,,,,,,,,,,,,,False,,,
vigilantly,,,,,vigilantly,RB,,ADV,,,,,,False,,,
medic1,,,,,Medic1,NNP,,PROPN,,,,,,False,,,
the war of 1812,the War of 1812,EVENT,,,,,,,,,,,,False,,,
incentives,,,,,,NNS,,NOUN,,,,,,False,,,
earwood,,,,,Earwood,NNP,,PROPN,,,,,,False,,,
"24,27,28",,,,,"24,27,28",CD,CARDINAL,NUM,,,,,,False,,,
bioterrorist,,,,,bioterrorist,NN,,NOUN,,,,,,False,,,
belong,,,,,belong,,,VERB,,,,,,False,,,
blocks,,,,,blocks,,,,,,,,,False,,,
applied medical ethics theories,APPLIED MEDICAL ETHICS THEORIES,ORG,55219.0,55250.0,,,,,,,,,,False,,,
134(p5,,,,,134(p5,CD,CARDINAL,NUM,,,,,,False,,,
world fact,World Fact,ORG,31830.0,31840.0,,,,,,,,,,False,,,
c-priority,C-Priority,ORG,55234.0,55244.0,,,,,,,,,,False,,,
268,,,,,268,CD,CARDINAL,NUM,,,,,,False,,,
outlier,,,,,Outlier,NNP,,PROPN,,,,,,False,,,
http://usacac.army.mil,,,,,http://usacac.army.mil,NNP,,PROPN,,,,,,False,,,
canton,,,,,Canton,NNP,GPE,PROPN,,,,,,False,,,
fitness,,,,,,,,,,,,,,False,,,
.................................................................................................................................,,,,,.................................................................................................................................,FULL_STOP,,PUNCT,,,,,,False,,,
forces”29,,,,,forces”29,NNP,,PROPN,,,,,,False,,,
abandonment,,,,,abandonment,NN,,NOUN,,,,,,False,,,
robbins,,,,,Robbins,NNP,ORG,PROPN,,,,,,False,,,
reintroduction,,,,,reintroduction,NN,,NOUN,,,,,,False,,,
b-52,,,,,B-52,NNP,PRODUCT,PROPN,,,,,,False,,,
reservists,,,,,reservists,NNS,,NOUN,,,,,,False,,,
benchmark,,,,,benchmark,NN,,NOUN,,,,,,False,,,
just,,,,,,,,,,,,,,False,,,
dropped,,,,,dropped,,,VERB,,,,,,False,,,
carver,,,,,Carver,NNP,,PROPN,,,,,,False,,,
10(p592,,,,,10(p592,ADD,,X,,,,,,False,,,
zeolite,,,,,zeolite,NN,,NOUN,,,,,,False,,,
echo,,,,,echo,,,,,,,,,False,,,
provision,,,,,,,,,,,,,,False,,,
42nd,,,,,,,,,42nd,I-ORG,0.9897566437721252,727.0,737.0,False,,,
spring;15(1):17,,,,,SPRING;15(1):17,NNP,,PROPN,,,,,,False,,,
perforated,,,,,perforated,VBN,,VERB,,,,,,False,,,
1870–1945,,,,,1870–1945,CD,CARDINAL,NUM,,,,,,False,,,
standards-2002,,,,,Standards-2002,NNP,ORG,PROPN,,,,,,False,,,
isaiah,,,,,ISAIAH,NNP,,PROPN,,,,,,False,,,
assignment of enlisted,ASSIGNMENT OF ENLISTED,ORG,39772.0,39794.0,,,,,,,,,,False,,,
os,,,,,,,,,,,,,,False,,,
needleless,,,,,needleless,NN,,NOUN,,,,,,True,,,
incendiary,,,,,,,,,,,,,,False,,,
scripture,,,,,Scripture,NN,,NOUN,,,,,,False,,,
ehrs,,,,,EHRs,NNS,,NOUN,,,,,,False,,,
two-,,,,,two-,XX,,X,,,,,,False,,,
"defense health agency immunization healthcare 
branch","Defense Health Agency Immunization Healthcare 
Branch",ORG,4255.0,4308.0,,,,,,,,,,False,,,
magill,,,,,Magill,NNP,ORG,PROPN,,,,,,False,,,
sacrifices,,,,,sacrifices,NNS,,NOUN,,,,,,False,,,
san diego state university,San Diego State University,ORG,923.0,949.0,,,,,,,,,,False,,,
apprehension,,,,,apprehension,NN,,NOUN,,,,,,False,,,
felt,,,,,felt,,,,,,,,,False,,,
crash-2,,,,,CRASH-2,NN,,NOUN,,,,,,False,,,
jesuit,,,,,Jesuit,NNP,ORG,PROPN,,,,,,False,,,
adapter,,,,,adapter,NN,,NOUN,,,,,,False,,,
eboda,,,,,Eboda,NNP,,PROPN,,,,,,False,,,
accepting,,,,,,,,,,,,,,False,,,
bvm,,,,,BVM,NNP,ORG,PROPN,,,,,,False,,,
the counts of the indictment: the opening,The Counts of the Indictment: The opening,WORK_OF_ART,112282.0,112323.0,,,,,,,,,,False,,,
weightlessness,,,,,weightlessness,NN,,NOUN,,,,,,False,,,
358,,,,,358,CD,CARDINAL,NUM,,,,,,False,,,
14(p40,,,,,14(p40,LS,CARDINAL,X,,,,,,False,,,
braddock,,,,,Braddock,NNP,ORG,PROPN,,,,,,False,,,
scooter,,,,,scooter,NN,,NOUN,,,,,,False,,,
105–110,,,,,105–110,CD,CARDINAL,NUM,,,,,,False,,,
curbs,,,,,curbs,NNS,,NOUN,,,,,,False,,,
chi17,,,,,chi17,NNP,,PROPN,,,,,,False,,,
sherrod,,,,,Sherrod,NNP,GPE,PROPN,,,,,,False,,,
workup,,,,,,,,,,,,,,False,,,
swimming,,,,,,,,,,,,,,False,,,
essential,,,,,,,,,,,,,,False,,,
4-2,4-2,CARDINAL,46039.0,46042.0,,,,,,,,,,False,,,
downstairs,,,,,downstairs,RB,,ADV,,,,,,False,,,
"immediate, delayed, minor treatment","Immediate, Delayed, Minor Treatment",ORG,40505.0,40540.0,,,,,,,,,,False,,,
bombings,,,,,bombings,NNS,,NOUN,,,,,,False,,,
vacancies,,,,,vacancies,NNS,,NOUN,,,,,,False,,,
106 rangers and special operations,106 Rangers and Special Operations,MONEY,133776.0,133810.0,,,,,,,,,,False,,,
"resources
 
• american college of sports medicine","RESOURCES
 
• American College of Sports Medicine",ORG,36961.0,37010.0,,,,,,,,,,False,,,
list36,,,,,List36,NNP,ORG,PROPN,,,,,,False,,,
igan,,,,,,,,,igan,I-ORG,0.9294016361236572,405.0,414.0,False,,,
article 55,Article 55,LAW,232156.0,232166.0,,,,,,,,,,False,,,
"2,994,684",,,,,"2,994,684",CD,CARDINAL,NUM,,,,,,False,,,
deletes,,,,,Deletes,VBZ,,VERB,,,,,,False,,,
mutilations,,,,,mutilations,NNS,,NOUN,,,,,,False,,,
breadth,,,,,breadth,NN,,NOUN,,,,,,False,,,
apo ae 09028,APO AE 09028,ORG,1425.0,1437.0,,,,,,,,,,False,,,
us department of agriculture,US Department of Agriculture,ORG,48156.0,48184.0,,,,,,,,,,False,,,
"character
competence
context
communication","Character
Competence
Context
Communication",WORK_OF_ART,304.0,346.0,,,,,,,,,,False,,,
371,,,,,371,CD,CARDINAL,NUM,,,,,,False,,,
territories,,,,,,,,,,,,,,False,,,
sparacino,,,,,Sparacino,NNP,NORP,PROPN,,,,,,False,,,
”25,,,,,”25,JJ,,ADJ,,,,,,False,,,
weighed,,,,,weighed,,,VERB,,,,,,False,,,
indigent,,,,,indigent,JJ,,ADJ,,,,,,False,,,
remuneration,,,,,remuneration,NN,,NOUN,,,,,,False,,,
probsocietal,,,,,probSocietal,JJ,,ADJ,,,,,,False,,,
onetime,,,,,onetime,JJ,,ADJ,,,,,,False,,,
operation iraqi freedom,Operation Iraqi Freedom,EVENT,,,,,,,,,,,,False,,,
adapting,,,,,adapting,VBG,,VERB,,,,,,False,,,
mahoney cr,Mahoney CR,ORG,46358.0,46368.0,,,,,,,,,,False,,,
regularity,,,,,regularity,NN,,NOUN,,,,,,False,,,
reconciling,,,,,reconciling,,,,,,,,,False,,,
unequivocality,,,,,unequivocality,NN,,NOUN,,,,,,False,,,
"aging
service","Aging
Service",ORG,30212.0,30225.0,,,,,,,,,,False,,,
washington post magazine,Washington Post Magazine,ORG,99047.0,99071.0,,,,,,,,,,False,,,
poems,,,,,poems,VBZ,,VERB,,,,,,False,,,
mwiti,,,,,Mwiti,NNP,,PROPN,,,,,,False,,,
applicability of human rights law to,APPLICABILITY OF HUMAN RIGHTS LAW TO,ORG,540525.0,540561.0,,,,,,,,,,False,,,
militarism,,,,,,,,,,,,,,False,,,
istributed,,,,,istributed,VBN,,VERB,,,,,,False,,,
"current resources - yes
immediate
likely","Current Resources - Yes
Immediate
Likely",ORG,73975.0,74015.0,,,,,,,,,,True,,,
wage,,,,,wage,VB,,VERB,,,,,,False,,,
sanitary tactics,Sanitary Tactics,ORG,50576.0,50592.0,,,,,,,,,,False,,,
[were,,,,,[were,XX,,X,,,,,,False,,,
sk,,,,,SK,NNP,ORG,PROPN,,,,,,False,,,
doxycycline,,,,,,,,,,,,,,False,,,
2007;172(1):9–16,,,,,2007;172(1):9–16,NNS,CARDINAL,NOUN,,,,,,False,,,
enact,,,,,,,,,,,,,,False,,,
1970;20(10):11,,,,,1970;20(10):11,NNP,GPE,PROPN,,,,,,False,,,
poorly,,,,,,RB,,ADV,,,,,,False,,,
memberships,,,,,memberships,NNS,,NOUN,,,,,,False,,,
us indo-pacific command,US Indo-Pacific Command,ORG,22954.0,22977.0,,,,,,,,,,False,,,
2011;12(3):463–474,,,,,2011;12(3):463–474,CD,CARDINAL,NUM,,,,,,False,,,
oper,,,,,,NNP,,PROPN,,,,,,False,,,
"integrity
service
excellence","Integrity
Service
Excellence",ORG,59613.0,59641.0,,,,,,,,,,False,,,
urls,,,,,URLS,NNP,ORG,PROPN,,,,,,False,,,
feign,,,,,feign,VB,,VERB,,,,,,False,,,
insulin,,,,,insulin,NN,,NOUN,,,,,,False,,,
investment,,,,,,,,,,,,,,False,,,
"evaluation and management of primary blast 
injury
due","Evaluation and Management of Primary Blast 
Injury
Due",ORG,78105.0,78159.0,,,,,,,,,,False,,,
expectation,,,,,,,ORG,,,,,,,False,,,
contrast,,,,,,,,,,,,,,False,,,
westphal,,,,,Westphal,JJ,,ADJ,,,,,,False,,,
"the massachusetts institute of
technology","the Massachusetts Institute of
Technology",ORG,146054.0,146095.0,,,,,,,,,,False,,,
angiography,,,,,angiography,NN,,NOUN,,,,,,False,,,
"consortium for health and military performance, department of military and emergency medicine, uniformed services university","Consortium for Health and Military Performance, Department of Military and Emergency Medicine, Uniformed Services University",ORG,880.0,1004.0,,,,,,,,,,False,,,
liter,,,,,liter,NN,,NOUN,,,,,,False,,,
modulate,,,,,modulate,,,VERB,,,,,,False,,,
http://www.public.navy.mil/,,,,,http://www.public.navy.mil/,NNS,,NOUN,,,,,,False,,,
stunts,,,,,stunts,NNS,,NOUN,,,,,,False,,,
nazi hypothermia research:,NAZI HYPOTHERMIA RESEARCH:,ORG,67.0,93.0,,,,,,,,,,False,,,
enormously,,,,,enormously,RB,,ADV,,,,,,False,,,
offloaded,,,,,offloaded,VBN,,VERB,,,,,,False,,,
68,,,,,68,,,,,,,,,False,,,
agriculture,,,,,,,,,,,,,,False,,,
proctor jl,Proctor JL,FAC,64120.0,64130.0,,,,,,,,,,False,,,
www.jcs.mil/portals/36/documents/publications/2015_national_military_strategy.pdf,,,,,www.jcs.mil/Portals/36/Documents/Publications/2015_National_Military_Strategy.pdf,NN,,NOUN,,,,,,False,,,
missouri department of health,Missouri Department of Health,ORG,153585.0,153614.0,,,,,,,,,,False,,,
stances,,,,,stances,NNS,,NOUN,,,,,,False,,,
926,,,,,926,CD,CARDINAL,NUM,,,,,,False,,,
lw,,,,,LW,NNP,,PROPN,,,,,,False,,,
"tularemia
filoviruses","Tularemia
Filoviruses",ORG,40477.0,40498.0,,,,,,,,,,False,,,
vw,,,,,VW,NNP,ORG,PROPN,,,,,,False,,,
manners,,,,,manners,NNS,,NOUN,,,,,,False,,,
arrayal,,,,,arrayal,NN,,NOUN,,,,,,False,,,
"the “clinical ethics workup
guide","the “Clinical Ethics Workup
Guide",ORG,126262.0,126295.0,,,,,,,,,,False,,,
national commission for the protection of human subjects of biomedical,National Commission for the Protection of Human Subjects of Biomedical,ORG,,,,,,,,,,,,False,,,
1986(1):102–119,,,,,1986(1):102–119,CD,CARDINAL,NUM,,,,,,False,,,
420,,,,,420,CD,CARDINAL,NUM,,,,,,False,,,
engenders,,,,,engenders,,,,,,,,,False,,,
il: american college of surgeons,IL: American College of Surgeons,ORG,,,,,,,,,,,,False,,,
medicine10,,,,,Medicine10,NNP,,PROPN,,,,,,False,,,
menstrual,,,,,menstrual,JJ,,ADJ,,,,,,False,,,
..............................................................................................,,,,,..............................................................................................,,,PUNCT,,,,,,False,,,
bureaus,,,,,,,,,,,,,,False,,,
pharmacologist,,,,,pharmacologist,NN,,NOUN,,,,,,False,,,
the protocols additional,the Protocols Additional,ORG,18692.0,18716.0,,,,,,,,,,False,,,
abi,,,,,,,,,ABI,I-ORG,0.8809249401092529,100.0,103.0,False,,,
2511,,,,,2511,CD,FAC,NUM,,,,,,False,,,
experiments with mustard gas,Experiments With Mustard Gas,WORK_OF_ART,18166.0,18194.0,,,,,,,,,,False,,,
47%,47%,PERCENT,,,,,,,,,,,,False,,,
sciuto am,Sciuto AM,ORG,86563.0,86572.0,,,,,,,,,,False,,,
abrahamic,,,,,Abrahamic,JJ,,ADJ,,,,,,False,,,
moomaw,,,,,Moomaw,NNP,ORG,PROPN,,,,,,False,,,
supremacist,,,,,supremacist,NN,,NOUN,,,,,,False,,,
abcs,,,,,ABCs,NNP,,PROPN,,,,,,False,,,
distinguished service cross,Distinguished Service Cross,ORG,4833.0,4860.0,,,,,,,,,,False,,,
approach_to,,,,,approach_to,NNP,,PROPN,,,,,,False,,,
mo.,,,,,Mo.,NNP,,PROPN,,,,,,False,,,
early,,,,,,,,,,,,,,False,,,
-decreases,,,,,-Decreases,NNS,,NOUN,,,,,,False,,,
brian,,,,,,,,,BRIAN,I-ORG,0.5657709240913391,816.0,821.0,False,,,
dod law of war program,DOD Law of War Program,ORG,700749.0,700771.0,,,,,,,,,,False,,,
inversely,,,,,inversely,RB,,ADV,,,,,,False,,,
hace,,,,,HACE,NNP,,PROPN,,,,,,False,,,
emptiness,,,,,emptiness,NN,,NOUN,,,,,,False,,,
belligerently,,,,,belligerently,RB,,ADV,,,,,,False,,,
15–33,,,,,15–33,CD,CARDINAL,NUM,,,,,,False,,,
hja,,,,,HJA,NNP,ORG,PROPN,,,,,,False,,,
herein,,,,,herein,NN,,NOUN,,,,,,False,,,
nco/po,NCO/PO,ORG,12691.0,12697.0,,,,,,,,,,False,,,
electric,,,,,electric,JJ,,ADJ,,,,,,False,,,
kneeling,,,,,kneeling,NN,,NOUN,,,,,,False,,,
rebel,,,,,Rebel,NNP,,PROPN,,,,,,False,,,
"the national 
institutes of health","the National 
Institutes of Health",ORG,4625.0,4659.0,,,,,,,,,,False,,,
steadiness,,,,,steadiness,NN,,NOUN,,,,,,False,,,
credentials,,,,,credentials,NNS,,NOUN,,,,,,False,,,
fortifications,,,,,fortifications,NNS,,NOUN,,,,,,False,,,
dialogues,,,,,Dialogues,NNPS,ORG,PROPN,,,,,,False,,,
2008;64(supplement):s207,,,,,2008;64(Supplement):S207,LS,CARDINAL,X,,,,,,False,,,
desperately,,,,,desperately,RB,,ADV,,,,,,False,,,
the central information agency,the Central Information Agency,ORG,506009.0,506039.0,,,,,,,,,,False,,,
"geneva convention relative to the treatment of prisoners of war of july 27, 1929","Geneva Convention Relative to the Treatment of Prisoners of War of July 27, 1929",WORK_OF_ART,758846.0,758926.0,,,,,,,,,,False,,,
goleman d. leadership,Goleman D. Leadership,NORP,59671.0,59692.0,,,,,,,,,,False,,,
medical record administration,Medical Record Administration,ORG,,,,,,,,,,,,False,,,
"chloroquine
chloroquinesensitive","Chloroquine
Chloroquinesensitive",ORG,10683.0,10715.0,,,,,,,,,,False,,,
logistical,,,,,,JJ,,ADJ,,,,,,False,,,
moisture,,,,,moisture,NN,,NOUN,,,,,,False,,,
wholesomeness,,,,,wholesomeness,JJ,,ADJ,,,,,,False,,,
shabbily,,,,,shabbily,RB,,ADV,,,,,,False,,,
habitation,,,,,habitation,NN,,NOUN,,,,,,False,,,
knight,,,,,knight,NN,,NOUN,,,,,,False,,,
https://armyfit.army.mil/,,,,,https://armyfit.army.mil/,ADD,ORG,X,,,,,,False,,,
simlm,,,,,SIMLM,NNP,,PROPN,,,,,,False,,,
holocaust,,,,,Holocaust,,,,,,,,,False,,,
aluminum,,,,,,,,,,,,,,False,,,
phronesis,,,,,Phronesis,NNP,,PROPN,,,,,,False,,,
the library of congress,The Library of Congress,WORK_OF_ART,85303.0,85326.0,,,,,,,,,,False,,,
mopp,,,,,MOPP,NNP,,PROPN,,,,,,False,,,
resented,,,,,resented,,,,,,,,,False,,,
cerebrovascular,,,,,cerebrovascular,JJ,,ADJ,,,,,,False,,,
sampling,,,,,sampling,,,,,,,,,False,,,
pharmacol,,,,,Pharmacol,NNP,,PROPN,,,,,,False,,,
conducting,,,,,,,,,,,,,,False,,,
bhopal,,,,,Bhopal,NNP,GPE,PROPN,,,,,,False,,,
nonbenzodiazepine,,,,,nonbenzodiazepine,NN,,NOUN,,,,,,False,,,
consciousness,,,,,,,,,,,,,,False,,,
knowledgable,,,,,knowledgable,JJ,,ADJ,,,,,,False,,,
key references & recommended,KEY REFERENCES & RECOMMENDED,ORG,2029.0,2057.0,,,,,,,,,,False,,,
mid1930s,,,,,mid1930s,NNP,ORG,PROPN,,,,,,False,,,
subjugate,,,,,subjugate,VB,,VERB,,,,,,False,,,
admilitary,,,,,adMilitary,NNP,,PROPN,,,,,,False,,,
superv,,,,,Superv,NNP,ORG,PROPN,,,,,,False,,,
combat casualty care (tccc) card,Combat Casualty Care (TCCC) Card,ORG,72546.0,72578.0,,,,,,,,,,False,,,
bph,,,,,BPH,NNP,ORG,PROPN,,,,,,False,,,
pitting,,,,,pitting,JJ,,ADJ,,,,,,False,,,
overby,,,,,Overby,NNP,ORG,PROPN,,,,,,False,,,
codevilla,,,,,Codevilla,NNP,,PROPN,,,,,,False,,,
•check,,,,,•Check,,,,,,,,,False,,,
mainz,,,,,Mainz,NNP,ORG,PROPN,,,,,,False,,,
collaborations,,,,,collaborations,NNS,,NOUN,,,,,,False,,,
hoge,,,,,Hoge,NNP,,PROPN,,,,,,False,,,
fewer than 14%,fewer than 14%,PERCENT,68017.0,68031.0,,,,,,,,,,False,,,
the combat application tourniquet,The Combat Application Tourniquet,ORG,15599.0,15632.0,,,,,,,,,,True,,,
under,,,,,,,,,,,,,,False,,,
1978;143(11):779–781,,,,,1978;143(11):779–781,ADD,CARDINAL,X,,,,,,False,,,
slower,,,,,slower,JJR,,ADJ,,,,,,False,,,
simplistic,,,,,simplistic,JJ,,ADJ,,,,,,False,,,
preferentially,,,,,preferentially,RB,,ADV,,,,,,False,,,
abandoning,,,,,abandoning,VBG,,VERB,,,,,,False,,,
ch,,,,,,NNP,ORG,PROPN,,,,,,False,,,
return fire,Return Fire,WORK_OF_ART,6630.0,6641.0,,,,,,,,,,False,,,
increase,,,,,,,,,,,,,,False,,,
1993;18:81–97,,,,,1993;18:81–97,NNP,,PROPN,,,,,,False,,,
montminy,,,,,Montminy,NNP,ORG,PROPN,,,,,,False,,,
received,,,,,,,,VERB,,,,,,False,,,
the hague convention on the pacific settlement of international disputes,the Hague Convention on the Pacific Settlement of International Disputes,ORG,18569.0,18641.0,,,,,,,,,,False,,,
britain,,,,,Britain,NNP,,PROPN,,,,,,False,,,
unit,,,,,,,,,,,,,,False,,,
disrupting,,,,,disrupting,VBG,,VERB,,,,,,False,,,
burrell,,,,,Burrell,NNP,,PROPN,,,,,,False,,,
deguzman,,,,,Deguzman,NNP,ORG,PROPN,,,,,,False,,,
gloomy,,,,,gloomy,JJ,,ADJ,,,,,,False,,,
peacetime,,,,,,,,,,,,,,False,,,
dealt,,,,,dealt,,,VERB,,,,,,False,,,
q2,,,,,q2,NN,,NOUN,,,,,,False,,,
hickey ah,Hickey AH,ORG,66525.0,66534.0,,,,,,,,,,False,,,
kr,,,,,KR,,,,,,,,,False,,,
temporarily,,,,,temporarily,RB,,ADV,,,,,,False,,,
ricans,,,,,Ricans,NNPS,ORG,PROPN,,,,,,False,,,
cavities,,,,,cavities,NNS,,NOUN,,,,,,False,,,
schutzstaffel,,,,,Schutzstaffel,,,,,,,,,False,,,
antagonistic,,,,,antagonistic,JJ,,ADJ,,,,,,False,,,
6-187,6-187,CARDINAL,607579.0,607584.0,,,,,,,,,,False,,,
refuge,,,,,refuge,NN,,NOUN,,,,,,False,,,
contributor,,,,,contributor,NN,,NOUN,,,,,,False,,,
y.,,,,,Y.,NNP,PRODUCT,PROPN,,,,,,False,,,
ingredients,,,,,ingredients,NNS,,NOUN,,,,,,False,,,
3 ml/,3 mL/,QUANTITY,142368.0,142373.0,,,,,,,,,,False,,,
opera174,,,,,opera174,NNP,,PROPN,,,,,,False,,,
offensively,,,,,offensively,RB,,ADV,,,,,,False,,,
pneumopericardium,,,,,pneumopericardium,NN,,NOUN,,,,,,False,,,
